Repeat,Feature,Score,Tumor type,Cohort
Repeat97,ENO1,0.04523809523809519,LC,discovery
Repeat72,ENO1,0.06904761904761902,LC,discovery
Repeat59,ENO1,0.04523809523809508,LC,discovery
Repeat47,ENO1,0.08333333333333326,LC,discovery
Repeat100,ENO1,0.04999999999999982,LC,discovery
Repeat71,ENO1,0.052380952380952195,LC,discovery
Repeat48,ENO1,0.06428571428571417,LC,discovery
Repeat58,ENO1,0.07857142857142851,LC,discovery
Repeat8,ENO1,0.033333333333333215,LC,discovery
Repeat5,ENO1,0.04761904761904756,LC,discovery
Repeat65,ENO1,0.05714285714285705,LC,discovery
Repeat49,ENO1,0.03571428571428559,LC,discovery
Repeat57,ENO1,0.042857142857142705,LC,discovery
Repeat70,ENO1,0.05714285714285716,LC,discovery
Repeat50,ENO1,0.05476190476190468,LC,discovery
Repeat7,ENO1,0.06190476190476191,LC,discovery
Repeat64,ENO1,0.042857142857142705,LC,discovery
Repeat1,ENO1,0.052380952380952306,LC,discovery
Repeat56,ENO1,0.08333333333333326,LC,discovery
Repeat51,ENO1,0.052380952380952306,LC,discovery
Repeat69,ENO1,0.04999999999999982,LC,discovery
Repeat99,ENO1,0.07619047619047614,LC,discovery
Repeat4,ENO1,0.06904761904761902,LC,discovery
Repeat66,ENO1,0.033333333333333215,LC,discovery
Repeat52,ENO1,0.04999999999999993,LC,discovery
Repeat55,ENO1,0.09285714285714275,LC,discovery
Repeat6,ENO1,0.042857142857142816,LC,discovery
Repeat98,ENO1,0.05714285714285705,LC,discovery
Repeat68,ENO1,0.04999999999999993,LC,discovery
Repeat67,ENO1,0.06428571428571428,LC,discovery
Repeat53,ENO1,0.05952380952380942,LC,discovery
Repeat96,ENO1,0.09523809523809512,LC,discovery
Repeat3,ENO1,0.08333333333333326,LC,discovery
Repeat54,ENO1,0.06428571428571428,LC,discovery
Repeat63,ENO1,0.052380952380952306,LC,discovery
Repeat95,ENO1,0.10476190476190472,LC,discovery
Repeat2,ENO1,0.07380952380952377,LC,discovery
Repeat61,ENO1,0.08333333333333326,LC,discovery
Repeat60,ENO1,0.04761904761904745,LC,discovery
Repeat9,ENO1,0.07380952380952366,LC,discovery
Repeat46,ENO1,0.07380952380952377,LC,discovery
Repeat44,ENO1,0.09047619047619038,LC,discovery
Repeat45,ENO1,0.04999999999999993,LC,discovery
Repeat73,ENO1,0.04999999999999982,LC,discovery
Repeat10,ENO1,0.05714285714285705,LC,discovery
Repeat60,SOD1,0.04523809523809519,LC,discovery
Repeat66,PKM,0.052380952380952306,LC,discovery
Repeat62,SOD1,0.04761904761904756,LC,discovery
Repeat83,PKM,0.04523809523809519,LC,discovery
Repeat61,PKM,0.030952380952380953,LC,discovery
Repeat61,SOD1,0.030952380952380953,LC,discovery
Repeat55,SOD1,0.052380952380952306,LC,discovery
Repeat55,PKM,0.052380952380952306,LC,discovery
Repeat28,SOD1,0.06190476190476191,LC,discovery
Repeat29,PKM,0.07380952380952377,LC,discovery
Repeat28,PKM,0.06190476190476191,LC,discovery
Repeat22,SOD1,0.042857142857142816,LC,discovery
Repeat29,SOD1,0.07380952380952377,LC,discovery
Repeat82,SOD1,0.07380952380952377,LC,discovery
Repeat82,PKM,0.07380952380952377,LC,discovery
Repeat66,SOD1,0.052380952380952306,LC,discovery
Repeat22,PKM,0.042857142857142816,LC,discovery
Repeat87,PKM,0.059523809523809534,LC,discovery
Repeat62,PKM,0.04761904761904756,LC,discovery
Repeat30,PKM,0.0714285714285714,LC,discovery
Repeat30,SOD1,0.0714285714285714,LC,discovery
Repeat54,SOD1,0.08095238095238089,LC,discovery
Repeat54,PKM,0.08095238095238089,LC,discovery
Repeat60,PKM,0.04523809523809519,LC,discovery
Repeat59,PKM,0.06904761904761902,LC,discovery
Repeat83,SOD1,0.04523809523809519,LC,discovery
Repeat56,PKM,0.06190476190476191,LC,discovery
Repeat59,SOD1,0.06904761904761902,LC,discovery
Repeat24,SOD1,0.05714285714285705,LC,discovery
Repeat64,PKM,0.06428571428571428,LC,discovery
Repeat24,PKM,0.05714285714285705,LC,discovery
Repeat85,PKM,0.06904761904761902,LC,discovery
Repeat58,SOD1,0.07857142857142851,LC,discovery
Repeat25,PKM,0.05476190476190468,LC,discovery
Repeat25,SOD1,0.05476190476190468,LC,discovery
Repeat58,PKM,0.07857142857142851,LC,discovery
Repeat64,SOD1,0.06428571428571428,LC,discovery
Repeat63,SOD1,0.0357142857142857,LC,discovery
Repeat63,PKM,0.0357142857142857,LC,discovery
Repeat26,PKM,0.06666666666666665,LC,discovery
Repeat26,SOD1,0.06666666666666665,LC,discovery
Repeat84,SOD1,0.06904761904761902,LC,discovery
Repeat86,PKM,0.08095238095238089,LC,discovery
Repeat86,SOD1,0.08095238095238089,LC,discovery
Repeat57,SOD1,0.059523809523809534,LC,discovery
Repeat84,PKM,0.06904761904761902,LC,discovery
Repeat57,PKM,0.059523809523809534,LC,discovery
Repeat23,SOD1,0.04761904761904756,LC,discovery
Repeat23,PKM,0.04761904761904756,LC,discovery
Repeat27,PKM,0.08095238095238089,LC,discovery
Repeat27,SOD1,0.08095238095238089,LC,discovery
Repeat65,PKM,0.06190476190476191,LC,discovery
Repeat85,SOD1,0.06904761904761902,LC,discovery
Repeat56,SOD1,0.06190476190476191,LC,discovery
Repeat65,SOD1,0.06190476190476191,LC,discovery
Repeat43,PKM,0.06190476190476191,LC,discovery
Repeat67,PKM,0.042857142857142816,LC,discovery
Repeat72,PKM,0.06190476190476191,LC,discovery
Repeat46,PKM,0.06666666666666665,LC,discovery
Repeat46,SOD1,0.06666666666666665,LC,discovery
Repeat76,PKM,0.04523809523809519,LC,discovery
Repeat39,SOD1,0.06666666666666665,LC,discovery
Repeat39,PKM,0.06666666666666665,LC,discovery
Repeat76,SOD1,0.04523809523809519,LC,discovery
Repeat71,SOD1,0.059523809523809534,LC,discovery
Repeat38,SOD1,0.052380952380952306,LC,discovery
Repeat71,PKM,0.059523809523809534,LC,discovery
Repeat47,PKM,0.059523809523809534,LC,discovery
Repeat38,PKM,0.052380952380952306,LC,discovery
Repeat47,SOD1,0.059523809523809534,LC,discovery
Repeat77,PKM,0.06190476190476191,LC,discovery
Repeat77,SOD1,0.06190476190476191,LC,discovery
Repeat37,SOD1,0.026190476190476097,LC,discovery
Repeat40,PKM,0.06428571428571428,LC,discovery
Repeat72,SOD1,0.06190476190476191,LC,discovery
Repeat48,PKM,0.06190476190476191,LC,discovery
Repeat40,SOD1,0.06428571428571428,LC,discovery
Repeat73,SOD1,0.06666666666666665,LC,discovery
Repeat74,PKM,0.06666666666666665,LC,discovery
Repeat42,SOD1,0.07380952380952377,LC,discovery
Repeat42,PKM,0.07380952380952377,LC,discovery
Repeat74,SOD1,0.06666666666666665,LC,discovery
Repeat73,PKM,0.06666666666666665,LC,discovery
Repeat87,SOD1,0.059523809523809534,LC,discovery
Repeat44,PKM,0.04047619047619044,LC,discovery
Repeat44,SOD1,0.04047619047619044,LC,discovery
Repeat41,SOD1,0.06904761904761902,LC,discovery
Repeat41,PKM,0.06904761904761902,LC,discovery
Repeat75,PKM,0.052380952380952306,LC,discovery
Repeat75,SOD1,0.052380952380952306,LC,discovery
Repeat45,PKM,0.059523809523809534,LC,discovery
Repeat45,SOD1,0.059523809523809534,LC,discovery
Repeat37,PKM,0.026190476190476097,LC,discovery
Repeat48,SOD1,0.06190476190476191,LC,discovery
Repeat67,SOD1,0.042857142857142816,LC,discovery
Repeat51,PKM,0.042857142857142816,LC,discovery
Repeat33,SOD1,0.052380952380952306,LC,discovery
Repeat33,PKM,0.052380952380952306,LC,discovery
Repeat80,PKM,0.03809523809523807,LC,discovery
Repeat68,SOD1,0.059523809523809534,LC,discovery
Repeat80,SOD1,0.03809523809523807,LC,discovery
Repeat32,SOD1,0.06428571428571428,LC,discovery
Repeat43,SOD1,0.06190476190476191,LC,discovery
Repeat32,PKM,0.06428571428571428,LC,discovery
Repeat52,PKM,0.07619047619047614,LC,discovery
Repeat52,SOD1,0.07619047619047614,LC,discovery
Repeat81,PKM,0.052380952380952306,LC,discovery
Repeat31,PKM,0.052380952380952306,LC,discovery
Repeat53,PKM,0.06904761904761902,LC,discovery
Repeat53,SOD1,0.06904761904761902,LC,discovery
Repeat81,SOD1,0.052380952380952306,LC,discovery
Repeat51,SOD1,0.042857142857142816,LC,discovery
Repeat34,PKM,0.06190476190476191,LC,discovery
Repeat70,SOD1,0.04999999999999993,LC,discovery
Repeat34,SOD1,0.06190476190476191,LC,discovery
Repeat70,PKM,0.04999999999999993,LC,discovery
Repeat36,SOD1,0.052380952380952306,LC,discovery
Repeat49,PKM,0.05714285714285705,LC,discovery
Repeat36,PKM,0.052380952380952306,LC,discovery
Repeat78,PKM,0.06904761904761902,LC,discovery
Repeat49,SOD1,0.05714285714285705,LC,discovery
Repeat78,SOD1,0.06904761904761902,LC,discovery
Repeat35,SOD1,0.05714285714285705,LC,discovery
Repeat35,PKM,0.05714285714285705,LC,discovery
Repeat69,SOD1,0.06666666666666665,LC,discovery
Repeat79,PKM,0.04523809523809519,LC,discovery
Repeat50,PKM,0.08571428571428563,LC,discovery
Repeat50,SOD1,0.08571428571428563,LC,discovery
Repeat69,PKM,0.06666666666666665,LC,discovery
Repeat79,SOD1,0.04523809523809519,LC,discovery
Repeat68,PKM,0.059523809523809534,LC,discovery
Repeat31,SOD1,0.052380952380952306,LC,discovery
Repeat94,SOD1,0.04047619047619044,LC,discovery
Repeat19,SOD1,0.05476190476190468,LC,discovery
Repeat89,PKM,0.04999999999999993,LC,discovery
Repeat99,SOD1,0.06190476190476191,LC,discovery
Repeat15,SOD1,0.04761904761904756,LC,discovery
Repeat100,SOD1,0.05714285714285705,LC,discovery
Repeat15,PKM,0.04761904761904756,LC,discovery
Repeat95,SOD1,0.06428571428571428,LC,discovery
Repeat5,PKM,0.05714285714285705,LC,discovery
Repeat19,PKM,0.05476190476190468,LC,discovery
Repeat5,SOD1,0.05714285714285705,LC,discovery
Repeat89,SOD1,0.04999999999999993,LC,discovery
Repeat96,SOD1,0.05714285714285705,LC,discovery
Repeat95,PKM,0.06428571428571428,LC,discovery
