,QC10,QC11,QC12,QC13,QC14,QC15,QC16,QC17,QC18,QC19,QC1,QC20,QC21,QC22,QC23,QC24,QC25,QC26,QC27,QC28,QC29,QC2,QC30,QC31,QC32,QC33,QC34,QC35,QC36,QC37,QC38,QC39,QC3,QC40,QC41,QC42,QC43,QC44,QC45,QC46,QC47,QC48,QC49,QC4,QC50,QC51,QC52,QC53,QC54,QC55,QC56,QC57,QC58,QC59,QC5,QC60,QC6,QC7,QC8,QC9
QC1,0.9919425833631277,0.9872493995281851,0.9909162875121152,0.9908879253257423,0.9889301374946705,0.990391626850839,0.9915075793559459,0.9894155505118457,0.9886782051221908,0.9902562601352787,1.0,0.9880752830234112,0.9908577821753733,0.9903002590630408,0.990999515874423,0.9898635053737654,0.9934997903110255,0.9911094634125487,0.9885780219520958,0.9906564827701921,0.9932974390686502,0.9957862702655823,0.9910825839369658,0.989395672632366,0.989046075182702,0.9935577325151567,0.9930439884290743,0.9907213402614281,0.9884780441378029,0.9918711012287509,0.991327597616337,0.9914576871723391,0.9936303477681998,0.9937608887176742,0.9883483122586718,0.9925841711364753,0.9938310125920867,0.9905736780750005,0.9919368436016182,0.9920015097397191,0.9856911241434514,0.9861210511161009,0.9866163486376929,0.9932756192092698,0.9921503873582067,0.9874919744913423,0.986769189592893,0.9878999256111017,0.9851383933368381,0.9894381758682389,0.9885041119148105,0.9880283193616733,0.9879693799914451,0.9883750101248641,0.9928315462999598,0.9916554330482742,0.9882750563937085,0.9882139968807143,0.9937119545736641,0.9893868722631282
QC20,0.9934249709758796,0.991072597050142,0.9931722311128348,0.9921896277715077,0.99372480211776,0.9915341633809667,0.9929444376843217,0.9938240374842443,0.9915215503843272,0.9938507228511986,0.9880752830234112,1.0,0.9930872597802374,0.9939834204313276,0.9930202144683694,0.9925120964731317,0.9933959857812384,0.9934805214113064,0.9940264376148426,0.9934867030818462,0.9942719256013685,0.9919218866327877,0.993353443785002,0.9892941900964117,0.9916575717017412,0.9923909958382247,0.9927262607114191,0.9915976990659376,0.9930150750588416,0.991502878052438,0.9924026153786945,0.9899660055969259,0.9888922776651308,0.9941806779486905,0.9905221491231138,0.992128830954455,0.9937615419491717,0.9909361196088426,0.991949662710996,0.9899552036684244,0.9891205656906916,0.9874312764948241,0.9926379777554616,0.9916666116221268,0.9914016545205202,0.991068388819157,0.9918202205673754,0.9924861429175984,0.9890129230884781,0.9916667557438632,0.9939169203307572,0.992397824830164,0.9893723422248354,0.9913796406753503,0.9941404339076776,0.9898569607775696,0.9939869797018476,0.9891860453630213,0.9943006144180336,0.9920297186684507
QC21,0.9929609707153754,0.9888113632038366,0.9931849331094055,0.9928379551788205,0.9923180000671475,0.9927001321866595,0.9940511885518498,0.9929469710000856,0.992779096819232,0.9951616528583144,0.9908577821753733,0.9930872597802374,1.0,0.9936691959519834,0.9942204591992233,0.9936113420732351,0.993792084767264,0.9941137079319743,0.9935318882297955,0.993963086750372,0.9954494243953687,0.9937083544330297,0.9943242229428487,0.9891273198940859,0.9920890594277351,0.9935960348156477,0.9941774636582541,0.9949247471353178,0.9935082577093619,0.993569498330088,0.9923894416160313,0.9907358759440363,0.9888369423543805,0.9938800125935766,0.9906958881384098,0.9942208797285532,0.9948640824562959,0.9935333759205407,0.99306424485926,0.992011288728598,0.9893894844985428,0.9919603913318842,0.9902874497734694,0.9922155499308499,0.9925035686002364,0.9916676074485367,0.9919936618796844,0.9906377732317428,0.9890145487370686,0.9909796100982251,0.9934278682342343,0.9915480181934696,0.9901098550722215,0.9896916898148542,0.9925276279121373,0.9915794536524217,0.9935546408409286,0.9911131930842253,0.9953746403037788,0.9935993522760781
QC22,0.9937975018047632,0.9916085305651277,0.9931383668191313,0.9935223513620727,0.9950506880867763,0.994462927574533,0.9940391445187305,0.9937430261178642,0.9921449220000785,0.9944126522708387,0.9903002590630408,0.9939834204313276,0.9936691959519834,1.0,0.9950669835203979,0.9947293549799862,0.9944580102902149,0.9934128760416548,0.9948869463174078,0.9921845451781323,0.9956645587982031,0.9931892378181859,0.9937353313526825,0.9928511695485456,0.9938694574617623,0.9922393115041005,0.994156636385061,0.9940152964349,0.9945471738579051,0.9921248219991041,0.9950261897939423,0.9919685333130872,0.9898573239885837,0.9941354962253383,0.9902410619202259,0.9943169596974226,0.995611262062082,0.9945758054997723,0.9934572470006547,0.992103828760819,0.9911964013238946,0.989929102848961,0.9942202931399279,0.9943318808350521,0.9930867148349768,0.9927506603354777,0.9941765057284295,0.9925938733715984,0.9907184373459227,0.993834579543079,0.9932273861142167,0.9937984160077107,0.9910759753340009,0.9924339088345066,0.995563739876235,0.992072891096476,0.9935193692207344,0.9919451156500229,0.9950675998799872,0.993777875678398
QC23,0.9947895784126987,0.9909080711884685,0.9946813588955157,0.9954128121653858,0.9935329901491994,0.9950932336711967,0.9949815602056757,0.9928061651881962,0.9929470025781539,0.9958815763551744,0.990999515874423,0.9930202144683694,0.9942204591992233,0.9950669835203979,1.0,0.9945570026724166,0.9938780031769764,0.9953361939787883,0.9935805755215921,0.9940931339799123,0.994845639055835,0.9933777048340429,0.994956251228389,0.9913625601412556,0.993602400589628,0.993509360323357,0.9942863881261887,0.9949579352877258,0.9934828325401266,0.9945006882102609,0.9936441122518039,0.9921426843404304,0.9914309128485322,0.994935931843247,0.9916385511774847,0.9946719055728512,0.9952537725987134,0.9946695104532722,0.9942506440232756,0.9923702105144004,0.9910416700778208,0.9921787329603408,0.991174316848466,0.9941654504527695,0.9931916756225558,0.9923128435925529,0.9927625252978932,0.9921825130448638,0.9914717922174877,0.9936898972391347,0.9939235654943216,0.9912173375094165,0.9907206675986386,0.9910882402463019,0.9933975085021486,0.9939515433112205,0.9944950346961915,0.9911356652185181,0.9945436961233527,0.9930800081566717
QC24,0.9947395796182957,0.9933042204233826,0.9940177219910055,0.9931432054565684,0.9942784727207613,0.9939848124613114,0.9943315799464242,0.994601394237851,0.991142596922644,0.9948010788944588,0.9898635053737654,0.9925120964731317,0.9936113420732351,0.9947293549799862,0.9945570026724166,1.0,0.9952639613248353,0.9934760637702833,0.995501226842111,0.9927350510475474,0.9962213146554727,0.9941582399245672,0.9942832617259679,0.9936603486531465,0.9946764029757377,0.9933853672699188,0.9939025988275848,0.9954183542768236,0.9947352792654942,0.9928769995634769,0.9940135523893122,0.9919157926542119,0.992572896259962,0.9944731875689592,0.9918570940843593,0.9945605110292175,0.9946103253395328,0.9944602662267678,0.9936190323110811,0.9926049524769927,0.991602533940127,0.990716496579468,0.994294332735372,0.9949315602253619,0.993197749567332,0.9926031102290435,0.9922917366760927,0.9934430128020499,0.9907151555505161,0.9923902327973761,0.9938974231208904,0.9930596115639958,0.9918798851572909,0.9925570786547754,0.9934761385215309,0.9928549560070721,0.9947107123610011,0.99208069580739,0.9949317846969747,0.994003860113954
QC25,0.9930852294389424,0.9910114054066929,0.993792697524746,0.9952695355589277,0.9921742002977788,0.9960128477540957,0.9953431106516769,0.9924631631702854,0.9931964946461778,0.995672754264017,0.9934997903110255,0.9933959857812384,0.993792084767264,0.9944580102902149,0.9938780031769764,0.9952639613248353,1.0,0.9954495915966131,0.993741576321229,0.9954389644718445,0.9956391539916937,0.9942204548225556,0.993757074086306,0.9921691126542366,0.9932397104893659,0.9942496501952501,0.9951350995440023,0.9955279535150925,0.9938344567984287,0.9939464621149338,0.9926994460042835,0.9938608606328969,0.9907978954420417,0.99437023757702,0.9926112461006072,0.9954217796525957,0.9961665363727379,0.9935305955653655,0.994689727867726,0.9917906827681975,0.9895097180853922,0.9908167968962389,0.9915470504448769,0.99351547969197,0.9936801286406299,0.9918088252021112,0.9918845271766026,0.9924731743843915,0.9903950383939315,0.9926428379317629,0.993026400411031,0.9901852500824773,0.9904405522474199,0.9893013218062481,0.9937983929308819,0.9932347740020243,0.9938363475946022,0.99296373451946,0.9944969174046352,0.9941324431331914
QC26,0.9942482751295687,0.9936803138168757,0.9929618715147305,0.9948739155678391,0.9943821025637517,0.9939929700277593,0.9944641304802507,0.993250091099396,0.9922753929723265,0.9951280922131056,0.9911094634125487,0.9934805214113064,0.9941137079319743,0.9934128760416548,0.9953361939787883,0.9934760637702833,0.9954495915966131,1.0,0.9942909447272559,0.9956159571518085,0.9952456708565087,0.9938399015479983,0.9951283023959044,0.9933630745783751,0.9954004511968011,0.9930848362512984,0.9941519577431848,0.9946394935512581,0.9955180643586002,0.9948275630126413,0.9941233742825185,0.9938611065795938,0.9920244623364453,0.995762342692844,0.9921197130165732,0.9949962352496557,0.9941226685619611,0.9925531630245992,0.9950323703345082,0.9924767981817741,0.9915669841103716,0.9923035885193665,0.9922760372805052,0.995089431240926,0.9948488129665932,0.9935657662930069,0.9935208544753693,0.9940770485924112,0.9922327823534385,0.9936742936840111,0.9952867567213177,0.9928594589009766,0.9911348364520071,0.9923716369050045,0.994559885514317,0.9932706555610783,0.9941527484831674,0.9909955119238532,0.9948096484723284,0.9950452318938171
QC27,0.9944795302233946,0.9939343680575914,0.9922288982808338,0.9960606299699284,0.9946002345576685,0.9951184153500673,0.9957277847849847,0.9948507530047649,0.9914298512500219,0.9957698916548889,0.9885780219520958,0.9940264376148426,0.9935318882297955,0.9948869463174078,0.9935805755215921,0.995501226842111,0.993741576321229,0.9942909447272559,1.0,0.9943349208612968,0.9961645978314154,0.9933216382569843,0.9960899746198137,0.9937312933076214,0.9940513275374544,0.9951015058854473,0.9949489377042208,0.9962039568597767,0.9954201086236067,0.994842926976848,0.9939635823241382,0.993794697137517,0.9924786619946236,0.9951485781328375,0.9907150943947115,0.9947027487763292,0.9966365495604673,0.9921952954024238,0.9934435783681046,0.9928262995801965,0.9915811632517018,0.9922740001459431,0.9940268919360491,0.9949379217283394,0.9939278849037946,0.9945720718620247,0.9954152803111862,0.9945767593698359,0.9936132581425446,0.9929066962881639,0.9949551264132662,0.9931328364440094,0.9919232902574556,0.992461019275276,0.9952400981752649,0.9935455766097855,0.993161771159167,0.9928122564840041,0.9949215490356786,0.9957465266235177
QC28,0.9934058156981783,0.9907963116158385,0.9929831514833936,0.9950186618640687,0.9918696307513819,0.9943064290037268,0.9952911448908848,0.99235615641001,0.992748884410264,0.9949573667182916,0.9906564827701921,0.9934867030818462,0.993963086750372,0.9921845451781323,0.9940931339799123,0.9927350510475474,0.9954389644718445,0.9956159571518085,0.9943349208612968,1.0,0.9942151832302694,0.9946663806966519,0.9953576552862904,0.9912223192910482,0.9935693245567696,0.9954025351148114,0.9939427848756345,0.9957738870352201,0.9927433838503444,0.9944228250595165,0.9922067936842873,0.9936532017269643,0.9911518658291869,0.995113988594508,0.9930913614770571,0.9943441193794478,0.99554171140115,0.9927967174222038,0.9933130385551663,0.992448628586461,0.988313543634178,0.9910242363736348,0.9915771288630126,0.993117454917258,0.9930343161666656,0.992376156489117,0.992627237604396,0.9925577819215448,0.9903258318402537,0.9928471965433603,0.9934566383044758,0.9921022887279004,0.9914477097717151,0.990004460391701,0.9927876500785974,0.9938336040923339,0.9932285895010257,0.9912493176114857,0.9943879007106995,0.9948159121464805
