,QC1,QC2,QC3,QC4,QC5,QC6,QC7,QC8,QC9,QC10,QC11,QC12,QC13,QC14,QC15,QC16,QC17,QC18,QC19,QC20,QC21,QC22,QC23,QC24,QC25,QC26,QC27,QC28,QC29,QC30,QC31,QC32,QC33,QC34,QC35,QC36,QC37,QC38,QC39,QC40,QC41,QC42,QC43,QC44,QC45,QC46,QC47,QC48,QC49,QC50
QC11,0.8798529921238282,0.8662637948203,0.8559940241356746,0.8615412673847137,0.8514086191310745,0.8657578239205096,0.8721158496200954,0.868496832787592,0.8444963460624969,0.8681245319137147,1.0,0.8613959406984463,0.8611352567348161,0.8490226840253485,0.8557227250625847,0.8579662998552053,0.854840589129101,0.8598818666292538,0.8577372113573604,0.8677651996912846,0.8639832096196725,0.8854199113551937,0.8410177269870321,0.8509197888203963,0.8657765566426638,0.8707667548674842,0.8467779381360513,0.8485967209149774,0.8645952505987499,0.8508826634756944,0.8374904969965391,0.8236953815202017,0.8442782247329524,0.8395381088063066,0.8485402385588061,0.8538235402670558,0.8403527676734667,0.8528725141463588,0.856785949841387,0.8535226979670548,0.8633074728867984,0.8486668723839911,0.8581450326208491,0.8520645467080548,0.8567288961459723,0.861153836163948,0.8472356404731658,0.8947955907254487,0.8428215321841157,0.8762842132164125
QC12,0.8512339818646011,0.8614730183556673,0.8484220060682226,0.8422309551521617,0.8305514853926861,0.9136580736171008,0.8403697761423596,0.853769770790973,0.8470480370012297,0.8475491584271511,0.8613959406984463,1.0,0.9306606331279824,0.8703506086241477,0.8680052229001964,0.9122040200361374,0.8635298439685698,0.86586356081295,0.8677371695751906,0.872323712353234,0.8732582922652465,0.8684748590000738,0.867832834433507,0.9227514414944376,0.8718293746293303,0.8766492714728713,0.9111701667588373,0.8966666971504293,0.8526496436239986,0.8657339183539077,0.889621338508591,0.8889897419480927,0.8659674064908803,0.8909288969102002,0.9006170400226557,0.8962720367679334,0.8486348184886031,0.8580145550972089,0.8571432999664458,0.8632984178144382,0.8541533898649833,0.8752578087325613,0.8621346742417667,0.8586827423925291,0.8726865743570901,0.865388006665694,0.8350372392622769,0.8631986236473932,0.9049737326916417,0.870872608073749
QC13,0.8571231208848086,0.8681010975444624,0.8512047503319086,0.8492777078928431,0.8313190620279222,0.9258405992256952,0.8446699928382169,0.8619154830090573,0.860074101319375,0.8548287833770697,0.8611352567348161,0.9306606331279824,1.0,0.8619209154023051,0.875679739595693,0.9189943821178199,0.8737859035193322,0.8662775710894131,0.866039442654563,0.8776661285771589,0.8812729319041507,0.8732658849535837,0.8632142387250828,0.9206040229305128,0.8770378406490208,0.8769077257736567,0.9126067514222548,0.9100848767408363,0.8577060255639796,0.8634426492673923,0.8960788024713704,0.8781209199718822,0.8643265085325941,0.8983509508363733,0.899700208617503,0.900829226789482,0.8448564858512002,0.8580125660027305,0.8631865481388744,0.8601063707432732,0.8619722556496212,0.8715420097060425,0.8642672133510011,0.8656242363371666,0.8646188832574119,0.874901187259029,0.8395314294252474,0.8724879641437789,0.9131064823177527,0.8740559985340324
QC14,0.8389568115323143,0.8388546757197587,0.8425383209086647,0.8350474729100928,0.8200057740428282,0.8615166749532803,0.8278525861665269,0.8363431698765319,0.8380170171909906,0.8399726897915252,0.8490226840253485,0.8703506086241477,0.8619209154023051,1.0,0.914132955226406,0.8653840635554102,0.9083804137105886,0.8957772931054552,0.9009422606102101,0.9085072130058426,0.9166961877323473,0.905911346742716,0.9097216953906452,0.8680100795506035,0.9093989964224195,0.9099250601223411,0.8549140630658171,0.8479698453007188,0.8930460574046478,0.8922032521241563,0.8476868301395113,0.8417857998237864,0.8890760267346837,0.8343975030321469,0.8535106479485268,0.8429963568057861,0.8783418805853769,0.8871071420725031,0.8755004463765426,0.8968502763378811,0.8872915956754321,0.8963180662079233,0.8917677677289864,0.8977253031543869,0.8970302842173163,0.8871527155942919,0.828715298306254,0.8689361137585282,0.863357574026826,0.9063413964987931
QC15,0.8424061106662846,0.8455694426258971,0.8491653143461179,0.842584231227005,0.8280509322898755,0.8682725687598544,0.8359668494626644,0.8457972682025702,0.8435515675220655,0.844588837351453,0.8557227250625847,0.8680052229001964,0.875679739595693,0.914132955226406,1.0,0.8708851656188306,0.9204971928774727,0.9059306172801259,0.9008605820368764,0.9150389695051507,0.9135791020323586,0.8992236082920408,0.9020273711264262,0.860923841245309,0.9050612486049096,0.9102057813161698,0.8661157582627133,0.8443711528607943,0.897535772470668,0.8995259049130198,0.8538668947139458,0.84420177946776,0.8918594304390888,0.8486550303099145,0.8533102832869669,0.8485062742329494,0.8833323079906099,0.8909259254775055,0.8899137982807663,0.9074372403229458,0.8990840378399807,0.8920580506111159,0.8916073410824487,0.8929171231216291,0.8979976243454065,0.8958572369309953,0.8353709718043164,0.8687020814381071,0.8558125599029219,0.9044937789402223
QC16,0.8508110143514462,0.8621674794544135,0.855221225958088,0.8456013037015253,0.8309555545763879,0.9203994023787602,0.8432111365661885,0.8552081107712876,0.8490756823893226,0.8498494086986843,0.8579662998552053,0.9122040200361374,0.9189943821178199,0.8653840635554102,0.8708851656188306,1.0,0.8726158936942323,0.8621694349779464,0.8642040199609946,0.8748779070182301,0.8697090767009656,0.8626923721211215,0.8605464379787474,0.9108257977766139,0.8707233799924001,0.8762001585931667,0.9125129885458285,0.9025503749324632,0.8575584138639322,0.8619921399611757,0.8924854897547299,0.8848959898680251,0.8673098251621948,0.8914326899776935,0.8990231213884033,0.8977037557180488,0.8450771220811719,0.8540294113584121,0.8537280765805443,0.8661552190421786,0.8638916724393843,0.8641859980405387,0.8649021112519777,0.8603848335012724,0.8630334951241753,0.8681080877897789,0.8376538855812367,0.8672326087949077,0.9113421722147274,0.8700663015165779
QC17,0.8434560321311794,0.8522979792486064,0.8543636409631716,0.8414920254410947,0.8309542614116815,0.8762311028706163,0.8464486858842505,0.8438166657963387,0.8504697270807277,0.846188562754185,0.854840589129101,0.8635298439685698,0.8737859035193322,0.9083804137105886,0.9204971928774727,0.8726158936942323,1.0,0.901643831081539,0.9083091422974859,0.9107369957265979,0.9133879502365686,0.8984808105770425,0.8969249682046643,0.8676595924253481,0.9120957416207669,0.912851081579624,0.8645308416539562,0.8506769251483531,0.8962416594509489,0.8869455533766075,0.8513632316731639,0.8391738117769344,0.8879744326958143,0.8444174351833692,0.8514108235942838,0.8453302646520154,0.8793627318798218,0.8868083310019261,0.8780558584577535,0.8986944100377934,0.89895560443181,0.8958183675552251,0.8854997567035093,0.8913890705018782,0.8924911613727535,0.8982207794281755,0.8367422603624377,0.8716799493177341,0.8580720548674817,0.9066971070495135
QC18,0.8352627617430763,0.8451186607919025,0.8475831969793114,0.8404703146076443,0.8254815026713395,0.8646340191103615,0.8348381961481655,0.8411425169349317,0.8376525485672621,0.8413590927179578,0.8598818666292538,0.86586356081295,0.8662775710894131,0.8957772931054552,0.9059306172801259,0.8621694349779464,0.901643831081539,1.0,0.9082567721990883,0.9051166667850297,0.9004423435769419,0.8921040126980524,0.8925077780025489,0.8607997889290273,0.9041860917148425,0.9041646998288169,0.8657915683781292,0.8498055226556339,0.8923978390202943,0.8950468096602961,0.8438064502558215,0.8395442242862603,0.8891887503738017,0.8430607698919393,0.8562640924356287,0.8443608051354583,0.8753777412947824,0.8871208110202277,0.8820479644506383,0.8949190256897702,0.892112166451436,0.8985514378764056,0.8855102925162279,0.897083865607175,0.8911445556861365,0.8875554579536046,0.8331405725962198,0.8698093143457096,0.857300879414445,0.9004475674327227
QC19,0.8436544878941736,0.8481284204380476,0.8483339961565678,0.8382586292503601,0.8252324164098742,0.8669384897429583,0.8449380082132646,0.8447509590201406,0.8464173584731722,0.8438880076505781,0.8577372113573604,0.8677371695751906,0.866039442654563,0.9009422606102101,0.9008605820368764,0.8642040199609946,0.9083091422974859,0.9082567721990883,1.0,0.901085618390735,0.9051356885123137,0.8962874591930872,0.893422957709836,0.8674100488752187,0.9009695658515272,0.903762746039276,0.8638612495959737,0.850818859200228,0.8946361780971904,0.8925029785752524,0.8474387046680768,0.8376336567922286,0.8858705236914168,0.8416786010118336,0.8599406119726248,0.8436334043143195,0.8814310327063958,0.8902937675469832,0.8859736019625649,0.8932977554722525,0.8949620408590304,0.8989637506275131,0.8892462298598708,0.897375817512782,0.8957159341967601,0.8961229995784428,0.8401761784128011,0.8779064407003597,0.8555983034166466,0.8982704087653958
QC20,0.8496996140356448,0.8500534857602883,0.8442566184195586,0.8428932790797476,0.8276300411649459,0.877300073939154,0.8392902235259733,0.8487422822089447,0.8408938260249872,0.8460287256813612,0.8677651996912846,0.872323712353234,0.8776661285771589,0.9085072130058426,0.9150389695051507,0.8748779070182301,0.9107369957265979,0.9051166667850297,0.901085618390735,1.0,0.9197494952334251,0.9167210547085259,0.8959482233774444,0.871746315036575,0.9069548410011194,0.917031787549164,0.8736616935327525,0.8557334576767758,0.9039344673011607,0.8909018551832644,0.8562811451011278,0.8393783861061941,0.8892917279524123,0.857060825405033,0.8667362021925156,0.8631617115423541,0.8928020746348581,0.9025231219983654,0.8926738525758577,0.9143185100892767,0.9043025806403673,0.8983028944356308,0.8876916397350916,0.8917638964128325,0.9023340700128306,0.9044236714256038,0.8320397710168876,0.8663639289013636,0.8658932336302119,0.9202495197984537
