Gene,C2_mean,C1_mean,C3_mean,C5_mean,C4_mean
LDHB,20.467264088559322,20.59710621756477,20.56636504168936,20.636120957987803,20.056814716062995
LGALS3BP,23.061500952161023,23.357882978911913,23.00857401013623,23.007673337621938,23.13056740188977
LPA,22.94290237444916,23.132532700829028,22.9771749240164,22.830479411463404,23.385287384803153
LRG1,26.45294974669491,26.695644890207284,26.260472062125334,26.14675376048781,26.130432076850408
LUM,24.608838624745747,24.677212996683938,24.62731440329702,24.78551731865856,24.74828340188975
LYVE1,19.989430959745768,20.23089236849741,20.21483648808332,20.1751272898773,20.147551650322576
LYZ,20.62156685351694,20.64760469212435,20.32728759563536,20.625678533658533,20.277219772677157
MAN1A1,20.94503986940679,21.020288258808282,20.763661586920968,20.613210544875002,20.935986744251952
MANBA,22.280613954718604,22.176193948324322,22.218822675872094,22.58498614368422,21.961461592758624
MASP1,21.14739182008474,21.152342829481878,21.04877242693987,20.88758398719513,21.020483224724412
MASP2,21.126547105169504,21.10196426756477,21.05582178051771,20.615910104528293,20.661127150396815
MBL2,21.352107308940678,21.501846226632132,21.236143235371895,21.39880524190185,21.02340698904762
MCAM,19.81511871122881,19.92989574870467,19.783020123787466,20.11827535170732,19.873274489763773
MEGF8,19.2333358700909,19.303612657357547,18.26989627038585,18.891168328553455,18.9628737461157
MINPP1,18.72840013673819,18.725216261428564,18.440063558985905,18.45522380603773,18.559767301935494
MMP2,18.316513189330138,18.529686564883722,18.04693015623614,17.880064933916078,17.896614682300882
MPO,18.573544973951226,18.769918759386496,18.568273441232876,18.861213918211927,18.16122465945455
MRC1,18.782535756008578,18.914822139368425,18.61486462618749,18.534026917701855,18.600982072540987
MSN,18.69698415457943,18.903141137206703,18.711343920000008,18.92122013775001,18.366974209175254
MST1,21.64602238025423,21.65434574927462,21.590987271062676,21.69463306469513,21.743832375984255
NAGLU,24.428491675733934,24.72193352638554,24.188221236477986,24.774185218271597,24.90265849308943
NCAM1,19.31340619572649,19.32565535590673,19.313480205384614,19.453319011219513,19.443555224094496
NEO1,18.895405038577977,19.064560209226187,18.849337723321543,18.958441444246578,19.275404583135597
NID1,18.213618905673073,18.52346292505952,18.170181538823535,18.190684951555557,17.490199242666662
NRP1,19.481703810338995,19.728945264999997,19.257815860628416,19.353175073963413,19.298517769448818
NRP2,16.541484054845355,16.534125486358025,16.45777837607383,16.276389461640626,16.365811412123893
NUP98,23.890948988115184,23.4790154480814,24.126923491855653,23.70429465453947,23.853019361444435
OAF,19.03943147434044,19.141174118854163,18.83436589196629,18.675073301298703,18.859017440476187
OLFM1,19.692974518813553,19.775971335544046,19.610187336229494,19.52994322237804,19.56747385110236
P4HB,18.034294914120174,18.0546550210582,18.009841683655598,18.062136854303798,17.26354004881356
PCOLCE,20.117604929745767,19.94257744777202,19.9804951828767,20.481526697743906,20.155279191102363
PDIA3,18.760185612043472,18.67263041181817,18.749116596562516,18.787305251349697,18.15869190495798
PEPD,19.605244472789696,19.768981734315794,19.667539553222227,20.279930418048785,20.51729742535433
PFN1,20.47460361744394,20.587495217351346,20.60205678617727,20.648276859681527,19.178148373999996
PGK1,19.492859643272716,20.152596898429334,19.791413336229052,19.954181819756094,19.677583600000006
PGLYRP2,24.082149385296628,23.90448068922281,23.95145159841964,23.752811919634144,24.021637915118102
PI16,19.94414403617021,19.767265461917095,19.96108229456827,20.148569355914645,20.038995992362207
PKM,19.72430222861905,20.049975064036126,19.527087530558997,19.32692875624113,18.482685543296707
PLG,26.488009255084727,26.350204367616584,26.556523401771123,26.50630097201219,26.60427408582679
PLTP,21.588643381016944,21.90850217067357,21.686651002997266,21.431983144634145,21.535036734094483
PNP,18.43479178985,18.48825042511905,18.37671601214898,18.87650439745342,17.9336029221875
PODXL,18.42825165170855,18.712365474873422,18.392567838194438,18.381409507385627,18.38504070850468
PON1,24.23790550093221,23.999744881036264,24.15839408231608,24.25380399445122,24.381847582204724
PON3,18.91315734986956,18.680456263072628,18.658886180242426,18.845137799612903,18.79154397836065
PPBP,22.522318610340427,22.577033633264247,22.654679484141678,22.479014859085368,22.162557803228356
PPIA,20.97278013053097,21.16276966815217,21.356870899350266,21.684462039624993,21.407480635102033
PRDX2,19.814369854821447,20.130970000395475,20.240026025207772,20.66553911598766,20.1203669804878
PRG4,21.025639134872893,21.022384710829012,20.924855135000016,20.833530485153364,20.851461973937
PROC,21.046004011440683,20.897946474922286,21.020170676948226,20.90712951432927,21.078247158425192
PROCR,18.876019778755374,18.925840079738222,18.80477085958789,19.066587744878053,18.84662107116667
PROS1,24.80212180542372,24.740833970569955,24.723003455940052,24.44927267762194,24.703776034015753
PROZ,21.06972682885594,20.800742460103613,20.939149983405986,20.83092861286586,21.18590986291338
PRSS1,24.958326976842102,25.143657389842936,24.935311116791908,25.507347289756108,25.091893423440002
PRSS3,20.58346939154507,20.651996549421067,20.62760047750724,20.9308364481595,20.49943246179486
PTGDS,21.70507723830509,21.59582581953367,21.534093134468666,21.684237580853658,21.56613277905511
PTPRG,19.226993583093215,19.303336686373058,19.085754755109285,19.345489061158535,19.01674687661417
