Gene,Digestive,Reproductive,Respirato,Urinary,Circulation,Endocrine
OAF,0.32688637856304725,-0.2705853433521375,-0.1187372418352537,-0.07864228116572343,0.2187469952038907,0.04606783558778176
OLFM1,0.36209360168159876,-0.36728252097278835,-0.059444547776467314,0.0019045233069593477,0.06679687579706248,0.09487625079529735
OSMR,0.20336767641898687,-0.26720897642034214,-0.09865352116149115,-0.04256009694618839,0.10986809607985182,-0.04800756923470213
PKM,0.31599260799945045,-0.24726631562842544,-0.006245877920802504,-0.09031019845343972,0.07386357847611648,-0.9618635104207438
PLTP,0.18660955258797918,0.11048707295201944,0.12916829313476633,-0.2511710250605923,-0.1533805826621358,-0.5948911712318317
PODXL,0.2019046515605525,-0.0015015270135730705,0.03169166319874462,-0.22125554354605648,0.040638437645976196,0.13960384803561107
PSMB2,0.31356275268017875,-0.03048166852102665,-0.2871811107092877,-0.0868487881411932,0.10952480262450841,-0.678761333417367
PTPRG,0.19056032436928635,-0.25968966608354477,-0.19955387945927605,0.16341898378592568,0.1459874221089648,-0.23897310372433989
RCN1,0.31447155852465664,-0.035064814548742,0.08548820338715477,-0.5176805347855595,0.09798826173471975,0.21519956533638734
RNASE4,0.19671866238244823,-0.015302444892860713,-0.2861910196406492,0.016809636432333724,0.08706057125821283,-0.4033322750025396
RNASEH2C,0.1470542765160633,-0.32267662340886455,-0.026423835758756207,0.13118322319629053,0.0909673989746957,-3.3775302201813497
ROBO4,0.1636394366318107,-0.21302798578473423,0.08118355395650143,0.07040498226244395,-0.18538876846359262,-0.23420483895086727
SAA1,0.24657158610743277,-0.2324136876192863,-0.08690683223694429,-0.03355835186347428,0.20473666824358833,-0.47800188418856615
SAA2,0.2632584920426111,-0.1858620639336949,-0.12427359929575137,-0.01015487228500043,0.041886473013766884,-0.9434193430436988
SERPINA11,0.3929259141361609,0.007192839085879662,-0.30192170587629474,-0.07428928888343728,0.03746758212111064,-0.0868882508000248
SERPINA3,0.25341919723972417,-0.3162499821586755,0.1820633199942787,-0.10944656706614878,0.003937637934067777,-0.7167043986804308
SHBG,0.40295026360087216,-0.14195908289041242,-0.050573878024829315,-0.21525779818006396,0.09224187019226027,-0.25376225070040653
SOD2,0.24756698376594632,-0.22310258684492848,-0.286044877022194,0.19814812251930583,0.015243959672814115,-0.3502115957115304
SPP1,0.2217463052907449,-0.1565463570312479,0.06277455130852402,0.023969018494100075,-0.27469577231849895,-0.1514490060174699
TGFBI,0.17001750040648375,-0.10994801108561231,-0.1513454649873441,0.12720082638841482,-0.07471349111904517,0.05874905842578633
THBS1,0.2024250440338639,-0.14429755455538174,0.0642318632828405,-0.15295035679525826,0.08516129838426137,-0.3785244902928496
TIMP1,0.4419813846972929,-0.33462868593569217,-0.11177612472797725,0.05638342326675694,-0.10241202079687106,-0.5896029554386623
