Hcluster,C1,C1,C1,C1,C1,C1,C1,C2,C2,C2,C3,C3,C3,C4,C4,C4,C5,C5
Sample type,CHOL,LIHC,OVCA,PAAD,SARC,STAD,others,CRCA,ESCA,ML,HNCA,LC,RCC,BRCA,CECA,THCA,BLCA,TGCT
C1QA,0.2725729376135959,0.9651511458959275,0.4106668024981201,0.12041707747404617,0.1274843899583667,0.06188220956748868,0.2720893003304795,0.17274460242689194,0.04729934239103965,0.11358405118872268,-0.4572141814194491,-0.29842973564705366,-0.06928811445783083,-0.10611163757117197,0.39720309230886663,0.16304349391866438,-0.04603591665927814,0.09157067794787614
C2,0.4859428991248847,0.575941760751405,0.6373561491726565,0.2277562463391763,0.27397719929400094,0.251715518486354,0.17858421582480064,0.15854461755148516,0.09001053332546656,0.005703425218735133,0.14846762915135964,-0.038562469316532504,-0.22000070051810922,-0.13546284525452526,0.3857148967891702,0.05922967075394121,-0.018674607226636372,-0.8029302018698727
C4BPA,0.42613758386029155,-0.6781540821250577,0.5132441202924128,0.5245493241211102,-0.09033138772103126,0.12414633381009645,0.07435416884767428,0.11078188089692179,0.24672741601404116,0.00560898595026523,0.43033419243381976,-0.01832507464334673,0.24062098152036998,-0.1938218860102292,-0.45979879586850386,-0.09071069278780246,-0.20944865338535418,-0.3063403971879156
C7,0.7290906899257672,1.598200440896125,-0.18639797313640746,0.7965866881979569,0.12344731097576667,0.18416336041240078,0.09574207537064652,0.16655000284253293,0.2854948530765483,0.19905408922406023,-0.4248165524497193,-0.11604440707933006,-0.031472652414977174,-0.08224206457940064,0.23195164347951208,0.19310438350101028,-0.2356420221152695,-1.1018561649350402
C9,0.7009860638993635,0.09010091432928677,0.45214588335587585,0.547556859868737,0.9719232155907203,0.4376635139494136,0.10853539762388069,0.20791615240731706,0.4873771961169721,0.24359631508448154,-0.17401477585439357,-0.17356175944639932,0.08263814737835495,-0.39534556027497336,-0.6134597228233931,-0.34154448560325446,-0.3308156555030599,-0.32758530540013536
CD14,0.6429183589554041,0.6319308964263295,0.6253990891802549,0.8141195492712928,0.5108255791111472,0.16008726753179373,0.19935169630060737,0.16117447266803994,0.21884294101657117,0.2017759527049879,-0.5358090887238871,-0.1727754996904572,-0.05686460531033334,-0.19522392684283835,-0.0035538107023307813,0.15067627470060743,-0.2888044293065605,-0.3779038974349119
CD93,0.2637306593470907,0.8564679200601742,0.12213845134351942,-0.17830033646216248,0.0876273838635251,0.2075440778065705,0.07037601069430861,-0.1613683353767283,0.0923216140235738,0.1272244576434439,-0.3586265683463412,-0.11712487754782262,-0.0570077290364027,-0.15137051131682278,-0.6127277901158235,-0.368575179693755,0.30418968457850915,-0.6349965835845772
CDH1,0.8416108970536514,0.9736706523577696,0.0997371168015468,0.15379527419997824,0.0064192819306258305,0.16981320272001893,0.20421260774740935,0.3330503290965925,0.0650997140424133,0.02666129986525184,-0.33453758616808554,-0.06633557119075884,-0.2612495839441102,-0.24136645021749958,0.29182360505053406,0.008108880163381915,0.07974421655240768,-0.8018262592532356
CFB,0.3397226891904046,0.24094799060612013,0.5578676912412001,0.5241361456528123,0.256428670942026,0.16377497182390782,0.09988283233717656,0.19872339394407604,0.4303492936157691,0.14250644211642377,0.33494480436056295,0.06718207208463718,0.04798536785762757,-0.18318226145688707,-0.06852269397159173,-0.5436957052465898,-0.46728482578689867,-0.9087906395689731
CFHR5,-0.12007910763418453,-0.27044182899009267,0.4851666057217658,0.4503232203303287,0.29036201224076086,0.18389503533813847,0.19595233388715722,0.11829197958563198,0.22670997621165956,-0.023458040232147977,0.13935943094156195,-0.01382082652650048,0.20608840938629697,-0.3702027999061516,-0.5275523846474657,-0.1562759431506208,-0.17106785044823059,-0.060141311000750444
COLEC11,0.39608789046148646,1.166489960146104,-0.09880312684542814,-0.11606927029172191,-0.27538333058007886,-0.058251566489904365,-0.10075203082427414,0.0832552354908159,0.18373700500852108,0.022938343089727118,-0.5835326225949373,0.11539382418264278,-0.09227394431893973,-0.009382471615179308,0.2053063445249837,0.5048737087116003,-0.15218460314475601,-0.6656841295878966
CP,0.7995652476077052,0.4705183366759045,0.5266275352649659,0.9154640901317718,0.39705920349564466,0.18947455936134938,0.28436133458772017,0.20512274046638407,0.2825085467622473,0.10780133810062821,-0.2661669085408871,-0.15098497871699412,-0.12215028412054238,0.06706662366168527,0.06435325947807044,-0.07652428218430525,-0.17823974786218064,-1.074491097998127
