Gene,BLCA,BRCA,CECA,CHOL,CRCA,ESCA,HNCA,LC,LIHC,ML,OVCA,PAAD,RCC,SARC,STAD,TGCT,THCA,others
VTN,-0.26937885243793086,0.15784091602275097,0.6346322717490931,-0.4896381840651206,0.1688436150571481,-0.5473644416900798,0.07400618570566819,0.038889736086012074,-1.5221824440188874,0.11720968102442472,0.01850170690429191,-0.3692658069568867,0.27697247909728256,-0.3173354963597747,0.07922613880535591,0.2414996155933796,0.06462666152308857,-0.1748912996654875
ZNF512B,0.21817406300335987,-0.1961727352373376,0.3909234653179649,-0.25519963400210544,-0.06371047682354883,0.20679748641749648,-0.4591332340676494,-0.28088061795118047,0.32425339524738095,0.0941521491017568,0.3183337594446596,0.05778584975900861,0.14549049958145904,0.07052502749417906,0.03446463790731505,-0.07354845949533814,-0.3424296565503429,0.20212130745580262
PSIP1,-1.1366973102513434,-0.20667161282522695,-0.5249222414721156,0.7401162991695878,0.27909326666813067,0.11150184656565165,0.28275998197959934,0.3926334281650786,0.23349986076390664,0.19431419097363303,0.30728092215306635,0.2531925671333572,-0.4319905942845474,0.349213305825119,0.32206136901556925,-0.47538580068894287,0.1996508370012918,0.04941438138884751
A1BG,0.07754682273598379,0.31523566860492225,0.15848743200825727,0.46962054327351666,0.09343768677082703,0.11062151684969128,-0.0018660634271167043,-0.039365138028190506,0.27434795750951285,0.08054965664761558,0.2714617827927837,0.3896764595405156,-0.3557145099558933,-0.49347611522312085,0.13449494235940943,-1.1581157812331824,0.19926586398345725,0.3338780349362751
ACTA1,-0.14744017021641107,-0.9194152342030883,-0.6897389342279396,0.5541458958619686,0.12116220999076928,0.3217467774347361,0.2544236344027676,-0.02004334420498552,0.20170791228429627,0.19511910561060633,0.2960576587800098,-0.4626865589494457,0.24702386043878144,0.025390460635801554,-4.269475192322378e-05,0.18414298116551106,-1.494470610433705,0.14847569033496538
ACTB,-0.26372915951565856,-0.7207057451920668,-0.7820332948522607,0.7244973556668015,0.09058319936582494,0.364296073363594,0.5592807728076694,0.01829713226140194,0.30551235463975895,0.22087907420680206,0.10767838496127942,-0.43142196410502287,0.32829293763708933,0.11626007786084208,0.09019931324481613,0.1770930809977302,-1.0915923005782995,-0.13407791710059278
ACTBL2,-0.1752182463514018,-0.8882852568664286,-0.9191988360119284,0.5736221109889192,0.13698726761373523,0.35460179531904634,0.18201625987113174,-0.0209750967888484,0.1822255652156336,0.24816789271644668,0.3082059209056554,-0.519750283440394,0.4109560524852065,0.13629597035615415,0.08876728925370421,0.2872080960966492,-1.4769529691186822,-0.011774312668120124
ADAMTSL4,-0.2539461940392104,-0.10363965303781131,0.31185967930616054,0.8179387797174296,-0.004253672881804282,0.3921695696266299,0.099293380921613,0.18331603506275837,0.5636288768167813,-0.10220994404596163,0.07793991161716048,-0.006231944973797151,0.004366855282718814,0.05405050318033876,-0.16992483722693075,-0.2667865374531884,0.28840363435912714,-0.14258282486869914
APOB,-0.3881057387542051,0.17236749773534274,0.27111095140683494,0.8455462983049902,0.19011746412886465,0.3096345063856643,0.15638483051426286,-0.1797793784301354,0.4970222886575219,0.2774746332105537,-0.05339974953066795,0.15321067890601273,-0.1877934625247638,0.41527564217818724,0.29366765580594567,-0.4851383774347491,0.32857646485191017,-0.03506151429009579
B4GALT5,-0.17217338225454465,-0.37756350995570837,-0.20850658029899252,0.9089192093960503,0.1917735399470994,0.08877558917490702,0.07204825512891418,-0.07039353670783703,0.6402034458210729,0.22877982053294363,0.20767205474937034,0.21105962045127635,-0.2722924745726284,0.6453276923964556,0.1078260872000829,-0.8517251859891284,-0.5055762495400232,0.33569024574180883
C1R,-0.19784804240450535,-0.026368046914962966,-0.2448232239171179,0.48963094850972777,0.19780995240521346,0.44908509492721327,-0.2262103999536708,-0.10687152216558138,0.062206398763230655,0.26151443938752017,0.09195339252935669,0.2749691262610587,0.17955731058294885,0.40385998337396434,0.18900898154838577,-1.1703109442092414,0.4405077049646218,-0.21392933213771034
C8A,-0.4006182540794383,0.06042162506638768,-0.19224539419391365,0.5254430693213167,0.23885015445756091,0.48699775918547106,-0.11958746917123705,-0.11000094891473287,-0.10567204344174472,0.2715150657688518,0.2388210147484778,0.4979057868442651,0.10381263991099365,0.37810257454051416,0.3277247658994669,-0.9413514316573994,0.3746100676635087,-0.22458876253008753
CAMP,-0.09829656437051167,0.16987176334023793,-0.18192330725794648,0.5379975935125032,0.06543419754829809,0.2762051322179828,-0.21553028316925693,-0.03797766766375956,-0.2539846601229993,0.07034583959724075,0.17684019235900178,0.4173131782314054,-0.09936609188538577,0.22337073454750117,0.09296793169901757,-0.8108885306464071,0.39332288551986755,0.06082642442969279
CHI3L1,-0.1361969094780613,-0.22171145801580364,-0.14437291094197668,0.638791165634562,0.2784691431236384,-0.11352744343230262,-0.06501647141117406,-0.041326582208619754,-0.024582636089151805,0.030947703053036086,0.21511604218380614,0.10164942536246505,-0.0366201846756291,0.6368028804478137,0.06622985665365137,0.0818433074952882,0.170172155120226,-0.07386931034519716
CPN2,-0.4005133957287496,0.13699654199832778,-0.0035405312875556984,0.5297789018079496,0.24240466437786726,0.35823402397172766,-0.2196897336343732,-0.10335452080189968,0.11167220284864496,0.3197761591937191,0.11389259680028975,0.31241188317620533,0.13686335524592252,0.10668277433047967,0.2093289009340873,-1.277153219344243,0.3144041823580409,-0.058548999405809966
EIF2AK3,0.07517108500871182,0.013509192526971392,0.031610166721904594,0.5359223102220774,0.07376091147265566,0.09047278059056765,-0.13083888177008354,-0.5440516139570645,0.31031536497695966,0.20931571243068378,0.2940906073633516,0.14874875053517497,-0.2782900567562416,0.16639525515556877,0.008693743590102112,0.1308888984584093,0.028303708831212047,0.2801247507882684
FBLN5,0.2087286634620685,-0.3183684337825591,-0.17696175030763123,0.49280296117306566,0.008163598541225956,-0.00649612709872749,-0.602621192518033,-0.2788104601385136,0.471722415675656,0.02875530761080714,-0.16154097696153946,-0.006123111482320514,0.28544734881428724,0.4364729531884785,0.0691631007587881,-0.4908174536736104,0.2013280143221386,0.19919606384746114
GAPDH,-0.24205628426778358,-0.06367048312823964,-0.2464601660065981,0.6204852677870617,0.18607634488278382,0.24592040115955924,0.21617599289962414,0.02882950296359273,0.1954719098450528,0.04462963475289331,0.3357566393385851,0.07400879725926644,-0.28763986865167906,0.289180889750486,0.23427309968460625,-0.0345931327711701,-0.5334253094626481,0.11316318606102008
GSN,-0.221135606101839,0.14445595357893917,-0.40733138537650265,0.31544784817685184,0.009492771268884804,0.27548137336451195,-0.25274375058789833,0.018316150499849863,0.26265086455993447,0.15702711341306566,-0.611877433253399,-0.3320325306659698,-0.04598383127912858,-0.036402928313168305,0.07768118484235387,-0.04177668035255331,0.26730138694053085,-0.10155196068448326
GSTO1,-0.04304355778394879,-0.27537196586466617,-0.690036467570349,0.7391010620873062,0.144521783983695,0.1875460898079692,0.1032729720065366,0.047840471728142826,0.4660360535088912,0.04930891737364922,0.2929360337566265,0.35786663937385416,0.033719063044047114,0.15787814650169613,0.10539356550450005,-1.0443456882106146,-0.30684030192989054,0.260128817101719
HLA-A,0.2859463164670369,-0.2101015956812868,-0.10720086271216261,0.35283200351993393,0.06810495352310957,-0.1773748906211975,-0.2948687396785492,-0.2867058375633113,0.17044270484493226,0.25600961446647585,-0.00017438622599438242,-0.03027920188681224,0.06542988076513848,-0.052209495981419704,-0.09297336992740593,-0.03307683969703906,0.34930143174328543,-0.02121040038110965
ITIH3,-0.31586251314996683,-0.0918406646531616,-0.004565994110526102,0.9544426292546258,0.4319971278878253,0.5474923611953951,-0.1435721852168445,-0.3107498740833303,0.4013179612595572,0.334604497747862,0.6505504609435638,0.8600640722073788,-0.13481731662664873,0.6262010260222624,0.5205028043556154,-1.2223846154378555,-0.004837642273410487,0.2495747603899792
