,AUROC,Balanced accuracy,Precision,Recall,F1,random_state,feature
test,0.47291666666666676,0.5652777777777778,0.35294117647058826,0.375,0.3636363636363636,58,WBC
train,0.9978632478632479,0.9444444444444444,1.0,0.8888888888888888,0.9411764705882353,59,WBC
test,0.5534722222222221,0.5180555555555555,0.3333333333333333,0.125,0.18181818181818182,59,WBC
train,0.9977297008547009,0.953525641025641,0.9705882352941176,0.9166666666666666,0.9428571428571428,60,WBC
test,0.5319444444444444,0.5090277777777779,0.3333333333333333,0.0625,0.10526315789473684,60,WBC
train,0.9977297008547009,0.953525641025641,0.9705882352941176,0.9166666666666666,0.9428571428571428,61,WBC
test,0.4145833333333333,0.5069444444444444,0.2857142857142857,0.125,0.17391304347826086,61,WBC
train,0.9978632478632479,0.9444444444444444,1.0,0.8888888888888888,0.9411764705882353,62,WBC
test,0.5645833333333333,0.46458333333333335,0.14285714285714285,0.0625,0.08695652173913043,62,WBC
train,0.9966613247863247,0.9305555555555556,1.0,0.8611111111111112,0.9253731343283582,63,WBC
test,0.48333333333333334,0.5673611111111111,0.38461538461538464,0.3125,0.3448275862068966,63,WBC
train,0.999465811965812,0.9722222222222222,1.0,0.9444444444444444,0.9714285714285714,64,WBC
test,0.4701388888888889,0.5270833333333333,0.3333333333333333,0.1875,0.24000000000000005,64,WBC
train,0.9966613247863247,0.9305555555555556,1.0,0.8611111111111112,0.9253731343283582,65,WBC
test,0.5472222222222223,0.5583333333333333,0.4,0.25,0.3076923076923077,65,WBC
train,0.9977297008547009,0.953525641025641,0.9705882352941176,0.9166666666666666,0.9428571428571428,66,WBC
test,0.5430555555555555,0.5069444444444444,0.2857142857142857,0.125,0.17391304347826086,66,WBC
train,0.9966613247863247,0.9305555555555556,1.0,0.8611111111111112,0.9253731343283582,67,WBC
test,0.6055555555555556,0.5472222222222223,0.36363636363636365,0.25,0.2962962962962963,67,WBC
train,0.9978632478632479,0.9444444444444444,1.0,0.8888888888888888,0.9411764705882353,68,WBC
test,0.5208333333333334,0.46458333333333335,0.14285714285714285,0.0625,0.08695652173913043,68,WBC
train,0.999465811965812,0.9722222222222222,1.0,0.9444444444444444,0.9714285714285714,69,WBC
test,0.4312500000000001,0.41805555555555557,0.13333333333333333,0.125,0.12903225806451615,69,WBC
train,0.9951923076923077,0.9166666666666667,1.0,0.8333333333333334,0.9090909090909091,70,WBC
test,0.5645833333333333,0.6118055555555555,0.5555555555555556,0.3125,0.39999999999999997,70,WBC
train,0.9950587606837606,0.9257478632478633,0.96875,0.8611111111111112,0.911764705882353,71,WBC
test,0.5930555555555556,0.6208333333333333,0.5,0.375,0.42857142857142855,71,WBC
train,0.9987980769230769,0.9583333333333333,1.0,0.9166666666666666,0.9565217391304348,72,WBC
test,0.5027777777777778,0.5381944444444444,0.375,0.1875,0.25,72,WBC
train,0.9987980769230769,0.9583333333333333,1.0,0.9166666666666666,0.9565217391304348,73,WBC
test,0.5854166666666667,0.5493055555555555,0.42857142857142855,0.1875,0.26086956521739124,73,WBC
train,0.9993322649572649,0.9813034188034189,0.9722222222222222,0.9722222222222222,0.9722222222222222,74,WBC
test,0.4263888888888889,0.5270833333333333,0.3333333333333333,0.1875,0.24000000000000005,74,WBC
train,0.9978632478632479,0.9444444444444444,1.0,0.8888888888888888,0.9411764705882353,75,WBC
test,0.5902777777777778,0.5069444444444444,0.2857142857142857,0.125,0.17391304347826086,75,WBC
train,0.9987980769230769,0.9583333333333333,1.0,0.9166666666666666,0.9565217391304348,76,WBC
test,0.5965277777777778,0.5493055555555555,0.42857142857142855,0.1875,0.26086956521739124,76,WBC
train,0.9987980769230769,0.9583333333333333,1.0,0.9166666666666666,0.9565217391304348,77,WBC
