,feature,AUROC
train,MCHC,0.749065170940171
test,MCHC,0.5888888888888888
train,MCHC,0.7203525641025642
test,MCHC,0.6604166666666668
train,MCHC,0.7521367521367521
test,MCHC,0.5951388888888889
train,MCHC,0.7457264957264956
test,MCHC,0.7215277777777778
train,MCHC,0.7715010683760684
test,MCHC,0.6166666666666667
train,MCHC,0.7895299145299145
test,MCHC,0.5562499999999999
train,MCHC,0.7568108974358974
test,MCHC,0.5972222222222222
train,MCHC,0.7629540598290597
test,MCHC,0.6027777777777779
train,MCHC,0.7739049145299145
test,MCHC,0.6020833333333334
train,MCHC,0.7184829059829061
test,MCHC,0.6638888888888889
train,MCHC,0.7942040598290598
test,MCHC,0.4847222222222223
train,MCHC,0.7019230769230769
test,MCHC,0.7229166666666667
train,MCHC,0.750934829059829
test,MCHC,0.5263888888888888
train,MCHC,0.7361111111111112
test,MCHC,0.5430555555555556
train,MCHC,0.7414529914529914
test,MCHC,0.6888888888888889
train,MCHC,0.8104967948717948
test,MCHC,0.4666666666666667
train,MCHC,0.7208867521367521
test,MCHC,0.6923611111111111
train,MCHC,0.7268963675213675
test,MCHC,0.6326388888888889
train,MCHC,0.7227564102564102
test,MCHC,0.6305555555555556
train,MCHC,0.7402510683760684
test,MCHC,0.5798611111111112
train,MCHC,0.7549412393162392
test,MCHC,0.6395833333333334
train,MCHC,0.7326388888888888
test,MCHC,0.6
train,MCHC,0.7545405982905984
test,MCHC,0.6125
train,MCHC,0.7294337606837606
test,MCHC,0.6784722222222223
train,MCHC,0.734909188034188
test,MCHC,0.6333333333333333
train,MCHC,0.7821848290598291
test,MCHC,0.5805555555555556
train,MCHC,0.7280982905982906
test,MCHC,0.6388888888888888
train,MCHC,0.7696314102564101
test,MCHC,0.5673611111111111
train,MCHC,0.7052617521367521
test,MCHC,0.7444444444444446
train,MCHC,0.6661324786324786
test,MCHC,0.8069444444444445
train,MCHC,0.7032585470085471
test,MCHC,0.7847222222222222
train,MCHC,0.6917735042735043
test,MCHC,0.7402777777777778
train,MCHC,0.780849358974359
test,MCHC,0.6145833333333334
train,MCHC,0.7391826923076924
test,MCHC,0.6118055555555555
train,MCHC,0.7506677350427351
test,MCHC,0.61875
train,MCHC,0.7561431623931625
test,MCHC,0.5840277777777778
train,MCHC,0.7163461538461539
test,MCHC,0.6847222222222222
train,MCHC,0.7098023504273505
test,MCHC,0.6763888888888889
train,MCHC,0.7693643162393162
test,MCHC,0.5902777777777778
train,MCHC,0.8070245726495726
test,MCHC,0.44722222222222224
train,MCHC,0.7517361111111112
test,MCHC,0.5965277777777778
train,MCHC,0.7598824786324786
test,MCHC,0.576388888888889
train,MCHC,0.7429220085470085
test,MCHC,0.6333333333333334
train,MCHC,0.7302350427350427
test,MCHC,0.6986111111111112
train,MCHC,0.7724358974358974
test,MCHC,0.586111111111111
train,MCHC,0.7309027777777778
test,MCHC,0.6840277777777779
train,MCHC,0.7690972222222221
test,MCHC,0.5493055555555555
train,MCHC,0.6773504273504274
test,MCHC,0.7423611111111112
train,MCHC,0.7669604700854701
test,MCHC,0.5333333333333333
train,MCHC,0.7470619658119657
test,MCHC,0.5361111111111111
train,MCHC,0.7290331196581197
test,MCHC,0.7208333333333333
train,MCHC,0.7574786324786325
test,MCHC,0.638888888888889
train,MCHC,0.7254273504273504
test,MCHC,0.6354166666666666
train,MCHC,0.6741452991452992
test,MCHC,0.826388888888889
train,MCHC,0.7747061965811967
test,MCHC,0.49444444444444446
train,MCHC,0.7613514957264957
test,MCHC,0.6361111111111111
train,MCHC,0.7422542735042735
test,MCHC,0.63125
train,MCHC,0.7029914529914529
test,MCHC,0.6847222222222222
train,MCHC,0.7617521367521367
test,MCHC,0.5826388888888889
train,MCHC,0.7323717948717948
test,MCHC,0.5548611111111111
train,MCHC,0.7525373931623932
test,MCHC,0.5208333333333334
train,MCHC,0.7828525641025641
test,MCHC,0.5319444444444444
train,MCHC,0.7593482905982907
test,MCHC,0.6062500000000001
train,MCHC,0.7694978632478632
test,MCHC,0.6006944444444444
train,MCHC,0.6948450854700855
test,MCHC,0.7458333333333333
train,MCHC,0.765357905982906
test,MCHC,0.6034722222222222
train,MCHC,0.6754807692307693
test,MCHC,0.7694444444444444
train,MCHC,0.6995192307692307
test,MCHC,0.7340277777777778
train,MCHC,0.7598824786324787
test,MCHC,0.61875
train,MCHC,0.7218215811965812
test,MCHC,0.5750000000000001
train,MCHC,0.7598824786324787
test,MCHC,0.6416666666666667
train,MCHC,0.7060630341880342
test,MCHC,0.7256944444444444
train,MCHC,0.7194177350427351
test,MCHC,0.6923611111111111
train,MCHC,0.7860576923076923
test,MCHC,0.5409722222222222
train,MCHC,0.7283653846153846
test,MCHC,0.7180555555555557
train,MCHC,0.7390491452991452
