,feature,AUROC
test,AFP+MCHC+WBC+MARCKS,0.8707692307692307
train,AFP+MCHC+WBC+MARCKS,0.9519704433497537
test,AFP+MCHC+WBC+MARCKS,0.8830769230769232
train,AFP+MCHC+WBC+MARCKS,0.956896551724138
test,AFP+MCHC+WBC+MARCKS,0.8676923076923077
train,AFP+MCHC+WBC+MARCKS,0.9513546798029556
test,AFP+MCHC+WBC+MARCKS,0.7753846153846153
train,AFP+MCHC+WBC+MARCKS,0.9710591133004927
test,AFP+MCHC+WBC+MARCKS,0.7723076923076923
train,AFP+MCHC+WBC+MARCKS,0.9427339901477831
test,AFP+MCHC+WBC+MARCKS,0.8984615384615384
train,AFP+MCHC+WBC+MARCKS,0.9501231527093597
test,AFP+MCHC+WBC+MARCKS,0.7784615384615384
train,AFP+MCHC+WBC+MARCKS,0.9433497536945812
test,AFP+MCHC+WBC+MARCKS,0.9046153846153846
train,AFP+MCHC+WBC+MARCKS,0.9451970443349754
test,AFP+MCHC+WBC+MARCKS,0.8892307692307693
train,AFP+MCHC+WBC+MARCKS,0.9236453201970444
test,AFP+MCHC+WBC+MARCKS,0.9476923076923077
train,AFP+MCHC+WBC+MARCKS,0.9661330049261084
test,AFP+MCHC+WBC+MARCKS,0.7907692307692308
train,AFP+MCHC+WBC+MARCKS,0.9433497536945814
test,AFP+MCHC+WBC+MARCKS,0.8646153846153846
train,AFP+MCHC+WBC+MARCKS,0.9310344827586208
test,AFP+MCHC+WBC+MARCKS,0.9353846153846154
train,AFP+MCHC+WBC+MARCKS,0.9285714285714285
test,AFP+MCHC+WBC+MARCKS,0.8953846153846154
train,AFP+MCHC+WBC+MARCKS,0.9359605911330049
test,AFP+MCHC+WBC+MARCKS,0.88
train,AFP+MCHC+WBC+MARCKS,0.9525862068965518
test,AFP+MCHC+WBC+MARCKS,0.8553846153846154
train,AFP+MCHC+WBC+MARCKS,0.9476600985221675
test,AFP+MCHC+WBC+MARCKS,0.8430769230769231
train,AFP+MCHC+WBC+MARCKS,0.9538177339901477
test,AFP+MCHC+WBC+MARCKS,0.8738461538461538
train,AFP+MCHC+WBC+MARCKS,0.9488916256157636
test,AFP+MCHC+WBC+MARCKS,0.7876923076923077
train,AFP+MCHC+WBC+MARCKS,0.9575123152709359
test,AFP+MCHC+WBC+MARCKS,0.9076923076923078
train,AFP+MCHC+WBC+MARCKS,0.9439655172413793
test,AFP+MCHC+WBC+MARCKS,0.916923076923077
train,AFP+MCHC+WBC+MARCKS,0.9156403940886699
test,AFP+MCHC+WBC+MARCKS,0.9261538461538461
train,AFP+MCHC+WBC+MARCKS,0.9217980295566504
test,AFP+MCHC+WBC+MARCKS,0.9661538461538461
train,AFP+MCHC+WBC+MARCKS,0.9433497536945812
test,AFP+MCHC+WBC+MARCKS,0.8738461538461539
train,AFP+MCHC+WBC+MARCKS,0.9390394088669951
test,AFP+MCHC+WBC+MARCKS,0.9046153846153846
train,AFP+MCHC+WBC+MARCKS,0.9612068965517242
test,AFP+MCHC+WBC+MARCKS,0.8738461538461538
train,AFP+MCHC+WBC+MARCKS,0.9421182266009852
test,AFP+MCHC+WBC+MARCKS,0.8338461538461538
train,AFP+MCHC+WBC+MARCKS,0.9408866995073891
test,AFP+MCHC+WBC+MARCKS,0.9846153846153847
train,AFP+MCHC+WBC+MARCKS,0.9254926108374385
test,AFP+MCHC+WBC+MARCKS,0.9753846153846153
train,AFP+MCHC+WBC+MARCKS,0.9365763546798029
test,AFP+MCHC+WBC+MARCKS,0.8584615384615384
train,AFP+MCHC+WBC+MARCKS,0.9328817733990148
test,AFP+MCHC+WBC+MARCKS,0.8923076923076924
train,AFP+MCHC+WBC+MARCKS,0.9347290640394089
test,AFP+MCHC+WBC+MARCKS,0.8892307692307692
train,AFP+MCHC+WBC+MARCKS,0.9396551724137931
test,AFP+MCHC+WBC+MARCKS,0.9384615384615385
train,AFP+MCHC+WBC+MARCKS,0.937192118226601
test,AFP+MCHC+WBC+MARCKS,0.8861538461538462
train,AFP+MCHC+WBC+MARCKS,0.9402709359605912
test,AFP+MCHC+WBC+MARCKS,0.8861538461538462
train,AFP+MCHC+WBC+MARCKS,0.9328817733990148
test,AFP+MCHC+WBC+MARCKS,0.956923076923077
train,AFP+MCHC+WBC+MARCKS,0.9642857142857142
test,AFP+MCHC+WBC+MARCKS,0.8
train,AFP+MCHC+WBC+MARCKS,0.9334975369458127
test,AFP+MCHC+WBC+MARCKS,0.9261538461538461
train,AFP+MCHC+WBC+MARCKS,0.9433497536945813
test,AFP+MCHC+WBC+MARCKS,0.8553846153846154
train,AFP+MCHC+WBC+MARCKS,0.9562807881773399
test,AFP+MCHC+WBC+MARCKS,0.8307692307692308
train,AFP+MCHC+WBC+MARCKS,0.9562807881773399
test,AFP+MCHC+WBC+MARCKS,0.8276923076923077
train,AFP+MCHC+WBC+MARCKS,0.937807881773399
test,AFP+MCHC+WBC+MARCKS,0.8646153846153847
train,AFP+MCHC+WBC+MARCKS,0.9759852216748768
test,AFP+MCHC+WBC+MARCKS,0.7292307692307693
train,AFP+MCHC+WBC+MARCKS,0.937192118226601
test,AFP+MCHC+WBC+MARCKS,0.8615384615384615
train,AFP+MCHC+WBC+MARCKS,0.9507389162561577
test,AFP+MCHC+WBC+MARCKS,0.8553846153846154
train,AFP+MCHC+WBC+MARCKS,0.9519704433497538
test,AFP+MCHC+WBC+MARCKS,0.8769230769230769
train,AFP+MCHC+WBC+MARCKS,0.9402709359605912
test,AFP+MCHC+WBC+MARCKS,0.8492307692307692
train,AFP+MCHC+WBC+MARCKS,0.9236453201970443
test,AFP+MCHC+WBC+MARCKS,0.9076923076923077
train,AFP+MCHC+WBC+MARCKS,0.9304187192118227
test,AFP+MCHC+WBC+MARCKS,0.8861538461538462
train,AFP+MCHC+WBC+MARCKS,0.9439655172413793
test,AFP+MCHC+WBC+MARCKS,0.836923076923077
train,AFP+MCHC+WBC+MARCKS,0.9427339901477833
test,AFP+MCHC+WBC+MARCKS,0.8430769230769231
train,AFP+MCHC+WBC+MARCKS,0.937192118226601
test,AFP+MCHC+WBC+MARCKS,0.9446153846153846
train,AFP+MCHC+WBC+MARCKS,0.958128078817734
test,AFP+MCHC+WBC+MARCKS,0.8646153846153847
train,AFP+MCHC+WBC+MARCKS,0.9334975369458128
test,AFP+MCHC+WBC+MARCKS,0.8369230769230769
train,AFP+MCHC+WBC+MARCKS,0.9482758620689655
test,AFP+MCHC+WBC+MARCKS,0.8523076923076924
train,AFP+MCHC+WBC+MARCKS,0.9655172413793103
test,AFP+MCHC+WBC+MARCKS,0.88
train,AFP+MCHC+WBC+MARCKS,0.9538177339901478
test,AFP+MCHC+WBC+MARCKS,0.84
train,AFP+MCHC+WBC+MARCKS,0.9624384236453202
test,AFP+MCHC+WBC+MARCKS,0.8246153846153846
train,AFP+MCHC+WBC+MARCKS,0.9415024630541872
test,AFP+MCHC+WBC+MARCKS,0.8615384615384616
train,AFP+MCHC+WBC+MARCKS,0.9550492610837439
test,AFP+MCHC+WBC+MARCKS,0.8430769230769231
train,AFP+MCHC+WBC+MARCKS,0.9692118226600985
test,AFP+MCHC+WBC+MARCKS,0.7846153846153847
train,AFP+MCHC+WBC+MARCKS,0.9347290640394088
test,AFP+MCHC+WBC+MARCKS,0.9415384615384615
train,AFP+MCHC+WBC+MARCKS,0.9501231527093597
test,AFP+MCHC+WBC+MARCKS,0.8400000000000001
train,AFP+MCHC+WBC+MARCKS,0.9698275862068965
test,AFP+MCHC+WBC+MARCKS,0.7784615384615386
train,AFP+MCHC+WBC+MARCKS,0.9328817733990148
test,AFP+MCHC+WBC+MARCKS,0.9815384615384616
train,AFP+MCHC+WBC+MARCKS,0.9458128078817734
test,AFP+MCHC+WBC+MARCKS,0.876923076923077
train,AFP+MCHC+WBC+MARCKS,0.9556650246305418
test,AFP+MCHC+WBC+MARCKS,0.8523076923076923
train,AFP+MCHC+WBC+MARCKS,0.9458128078817735
test,AFP+MCHC+WBC+MARCKS,0.8769230769230769
train,AFP+MCHC+WBC+MARCKS,0.9525862068965518
test,AFP+MCHC+WBC+MARCKS,0.8615384615384616
train,AFP+MCHC+WBC+MARCKS,0.9532019704433498
test,AFP+MCHC+WBC+MARCKS,0.8215384615384616
train,AFP+MCHC+WBC+MARCKS,0.9550492610837438
test,AFP+MCHC+WBC+MARCKS,0.8553846153846154
train,AFP+MCHC+WBC+MARCKS,0.958128078817734
test,AFP+MCHC+WBC+MARCKS,0.8246153846153846
train,AFP+MCHC+WBC+MARCKS,0.9205665024630543
test,AFP+MCHC+WBC+MARCKS,0.8953846153846154
train,AFP+MCHC+WBC+MARCKS,0.9550492610837438
test,AFP+MCHC+WBC+MARCKS,0.8461538461538461
train,AFP+MCHC+WBC+MARCKS,0.9624384236453202
test,AFP+MCHC+WBC+MARCKS,0.8430769230769232
train,AFP+MCHC+WBC+MARCKS,0.9575123152709359
test,AFP+MCHC+WBC+MARCKS,0.8461538461538461
train,AFP+MCHC+WBC+MARCKS,0.9396551724137931
test,AFP+MCHC+WBC+MARCKS,0.9384615384615386
train,AFP+MCHC+WBC+MARCKS,0.9384236453201971
test,AFP+MCHC+WBC+MARCKS,0.8615384615384616
train,AFP+MCHC+WBC+MARCKS,0.9347290640394088
test,AFP+MCHC+WBC+MARCKS,0.9107692307692308
train,AFP+MCHC+WBC+MARCKS,0.9704433497536946
test,AFP+MCHC+WBC+MARCKS,0.7292307692307692
train,AFP+MCHC+WBC+MARCKS,0.9421182266009851
test,AFP+MCHC+WBC+MARCKS,0.8523076923076923
train,AFP+MCHC+WBC+MARCKS,0.9427339901477834
test,AFP+MCHC+WBC+MARCKS,0.8923076923076924
train,AFP+MCHC+WBC+MARCKS,0.9451970443349754
test,AFP+MCHC+WBC+MARCKS,0.8676923076923077
train,AFP+MCHC+WBC+MARCKS,0.935960591133005
test,AFP+MCHC+WBC+MARCKS,0.9384615384615385
train,AFP+MCHC+WBC+MARCKS,0.9365763546798029
test,AFP+MCHC+WBC+MARCKS,0.8738461538461538
train,AFP+MCHC+WBC+MARCKS,0.9396551724137931
test,AFP+MCHC+WBC+MARCKS,0.9415384615384617
train,AFP+MCHC+WBC+MARCKS,0.9402709359605912
test,AFP+MCHC+WBC+MARCKS,0.9107692307692308
train,AFP+MCHC+WBC+MARCKS,0.9538177339901478
test,AFP+MCHC+WBC+MARCKS,0.8430769230769232
train,AFP+MCHC+WBC+MARCKS,0.937807881773399
test,AFP+MCHC+WBC+MARCKS,0.8953846153846154
train,AFP+MCHC+WBC+MARCKS,0.9396551724137931
test,AFP+MCHC+WBC+MARCKS,0.963076923076923
train,AFP+MCHC+WBC+MARCKS,0.9353448275862069
test,AFP+MCHC+WBC+MARCKS,0.8892307692307693
train,AFP+MCHC+WBC+MARCKS,0.9291871921182266
test,AFP+MCHC+WBC+MARCKS,0.9384615384615385
train,AFP+MCHC+WBC+MARCKS,0.9501231527093597
test,AFP+MCHC+WBC+MARCKS,0.8615384615384616
train,AFP+MCHC+WBC+MARCKS,0.9612068965517241
test,AFP+MCHC+WBC+MARCKS,0.8369230769230769
train,AFP+MCHC+WBC+MARCKS,0.9679802955665024
test,AFP+MCHC+WBC+MARCKS,0.8123076923076923
train,AFP+MCHC+WBC+MARCKS,0.9519704433497537
test,AFP+MCHC+WBC+MARCKS,0.8430769230769231
train,AFP+MCHC+WBC+MARCKS,0.9476600985221676
test,AFP+MCHC+WBC+MARCKS,0.8184615384615385
train,AFP+MCHC+WBC+MARCKS,0.9575123152709359
test,AFP+MCHC+WBC+MARCKS,0.8276923076923076
train,AFP+MCHC+WBC+MARCKS,0.9624384236453203
test,AFP+MCHC+WBC+MARCKS,0.8338461538461539
