Cancer associated genes (CAG)
SF3B1
SH3GL1
SIRT4
SKP2
SMAD2
SMAD4
SMARCA4
SMARCB1
SMO
SOCS1
SOX9
SPECC1
SPI1
SPOP
SRC
SRSF2
SS18
ST20
STAG2
STARD13
STIL
STK11
STYK1
SUFU
SUSD2
SUZ12
TAF15
TAL1
TAL2
TBC1D3
TBRG1
TCF3
TCHP
TCL1A
TCP10L
TCTA
TET2
TFE3
TFG
TFPT
TLX1
TMEM127
TNFAIP3
TNFRSF17
TOP1
TP53
TP53INP1
TP63
TP73
TPM3
TPR
TRAF7
TRIM24
TRIM37
TSC1
TSC2
TSHR
U2AF1
UFL1
USP4
USP6
VAV1
VHL
VWA5A
WHSC1
WHSC1L1
WISP1
WNT1
WNT3
WT1
WWOX
WWTR1
XAF1
XRN1
YAP1
YES1
ZBTB16
ZBTB7C
ZDHHC17
ZFYVE19
ZNF521
ACVR1
ACVR2A
AJUBA
ALB
AMER1
APOB
AR
ARID5B
ASXL1
ASXL2
ATF7IP
ATM
ATR
ATXN3
AXIN1
AXIN2
BCL2L11
BRCA2
BTG2
CACNA1A
CBWD3
CD70
CD79B
CDK12
CDK4
CDKN1A
CHD3
CHD4
CHD8
CNBD1
COL5A1
CREB3L3
CSDE1
CTNND1
CUL1
CUL3
CYSLTR2
DACH1
DAZAP1
DDX3X
DHX9
DIAPH2
DICER1
DMD
EEF1A1
EEF2
EGR3
EIF1AX
ELF3
EPAS1
EPHA2
EPHA3
ERBB3
ERBB4
ERCC2
ESR1
FAM46D
FAT1
FGFR1
FLNA
FOXA1
FOXA2
FOXQ1
GABRA6
GNA13
GPS2
GRIN2D
GTF2I
H3F3A
H3F3C
HGF
HIST1H1C
HIST1H1E
HLA-A
HLA-B
HUWE1
IL6ST
IL7R
INPPL1
IRF2
IRF6
KANSL1
KEAP1
KEL
KIF1A
KLF5
KMT2B
KMT2C
KMT2D
KRT222
LEMD2
LZTR1
MACF1
MAP3K4
MAPK1
MAX
MEN1
MGA
MGMT
MSH3
MTOR
MUC6
MYC
MYH9
NIPBL
NUP133
NUP93
PCBP1
PDS5B
PGR
PIK3CB
PIK3CG
PIK3R2
PIM1
PLCB4
PLCG1
PLXNB2
PMS2
POLE
POLQ
POLRMT
PPM1D
PPP6C
PRKAR1A
PSIP1
PTMA
PTPDC1
PTPRC
PTPRD
RAC1
RAD21
RBM10
RFC1
RHEB
RIT1
RNF111
RPL22
RPL5
RPS6KA3
RQCD1
RXRA
SCAF4
SF1
SIN3A
SMARCA1
SMC1A
SMC3
SOS1
SOX17
SPTA1
SPTAN1
TAF1
TBL1XR1
TBX3
TCEB1
TCF12
TCF7L2
TGFBR2
TGIF1
THRAP3
TLR4
TMSB4X
TRAF3
TXNIP
UNCX
USP9X
XPO1
ZBTB20
ZBTB7B
ZC3H12A
ZCCHC12
ZFHX3
ZFP36L1
ZFP36L2
ZMYM2
ZMYM3
ZNF133
ZNF750
WDR11
WDR15
WHSC1
WHSC1L1
WISP1
WNT1
WNT3
WWTR1
YAP1
YAP65
YEATS1
YEATS3
YES
YES1
ZBTB16
ZBTB19
ZBTB27
ZFYVE19
ZMYND2
ZNF145
ZNF220
ZNF278
ZNF320
ZNF51
ZNF521
ZNF802
ZSG
