Gene,Spearman rho,spearman_pvalues,-$\mathregular{Log_{10}}$(p-value),hue,size
CST3,-0.033559183998713736,0.7765236817125485,0.10984529501558825,zother,zother
CST6,0.1765678173022606,0.18888840835224227,0.7237946929152362,zother,zother
CSTA,0.18250835198270954,0.26611516625840653,0.5749303737212782,zother,zother
CTBS,-0.39400199960361,0.0005141813720614277,3.288883661177159,zother,zother
CTSB,0.2927584392549519,0.05676035939628197,1.2459548633321125,zother,zother
CTSD,-0.26266799973573995,0.02376258593987035,1.624106299452372,zother,zother
CTSH,-0.26245683340958503,0.08522545029118987,1.0694306954852562,zother,zother
CTSL,-0.11360098983385286,0.36001689097455647,0.44367712288560995,zother,zother
CTSS,-0.09494537183958303,0.5119087088881255,0.2908074819170655,zother,zother
CTTN,-0.12360224565024329,0.35528515421343454,0.4494229393665347,zother,zother
DAG1,-0.1829398077463504,0.18126533150078733,0.741685250386769,zother,zother
DBH,-0.4165722539787378,0.00022267565661071188,3.6523272583925697,zother,zother
DBNL,0.043223723870572966,0.7966627420795188,0.09872549322433684,zother,zother
DCD,-0.037272342249848336,0.769978144250599,0.11352160205618538,zother,zother
DDT,0.26833571858755356,0.03817404438699541,1.4182318258537092,zother,zother
DKK3,-0.0018603633291521884,0.9911556683760042,0.0038581309764590126,zother,zother
DNAH5,0.10428331281547981,0.4278080278411629,0.3687510701281964,zother,zother
DPEP2,0.045989249057986244,0.7138622444275575,0.14638558690312017,zother,zother
DPP4,0.29941130754721784,0.009555034636042172,2.0197677343321785,zother,zother
DSG2,0.12027667166300546,0.3177399381992255,0.4979281932640947,zother,zother
DSP,-0.08802384724837471,0.507365001681342,0.29467949395483717,zother,zother
ECM1,-0.37038024387636004,0.0011612161396002312,2.935086936592853,zother,zother
EFEMP1,0.024096943161785782,0.8396351380456337,0.07590939483951278,zother,zother
EIF2AK3,-0.0063181711585494045,0.964542636072646,0.0156785702991786,zother,zother
ENG,-0.09952466823574319,0.4302372569694862,0.36629198400979696,zother,zother
ENO1,0.1388965768929077,0.2586358298745329,0.5873113107050354,zother,zother
ENO2,0.2289192063754755,0.10613349558613913,0.974147531720824,zother,zother
ENPEP,-0.04701028732593794,0.7510258196271107,0.12434513206530626,zother,zother
ENPP2,-0.04658948037682015,0.6954994447461114,0.15770321239198676,zother,zother
ENPP6,-0.4294962022841838,0.005679870264406708,2.245661584024148,zother,zother
ERAP1,0.1370973057853626,0.36916020878355116,0.4327851170639222,zother,zother
EZR,-0.1323034333642229,0.33104085018574325,0.48011841131311966,zother,zother
F-box,0.27096513016128104,0.09521667424969282,1.0212869917360166,zother,zother
F10,-0.0471546521853065,0.6899257604061015,0.16119763908970358,zother,zother
F11,-0.19849679749989416,0.090003572540791,1.0457402516278005,zother,zother
F12,-0.15221592812832294,0.19543146230029365,0.709005518388597,zother,zother
F13A1,-0.2639268393826467,0.02307551659001785,1.6368485676722404,zother,zother
F13B,-0.4079677147451753,0.0003085039937665226,3.510739209395615,zother,zother
F2,-0.1732903848053616,0.13980500373305915,0.8544772845648176,zother,zother
F5,-0.02160761229219918,0.8550078896020703,0.06802987779248834,zother,zother
F7,-0.32229256936452266,0.005103813646293002,2.2921051912351977,zother,zother
F9,0.018482727992230687,0.8757958294943291,0.05759712723239763,zother,zother
FAH,0.036099133801907,0.7617324827160452,0.11819752430218294,zother,zother
FAM20C,0.07470151198519218,0.6177543061788466,0.20918421857955674,zother,zother
FBLN1,-0.23002702818535822,0.048654771786107776,1.312874560148982,zother,zother
FBLN5,-0.04897202257984366,0.70076699945334,0.1544263581709823,zother,zother
FBP1,-0.4657292904061369,0.0014430424711253447,2.840720886713892,zother,zother
FCGBP,-0.05743270765534504,0.6269351146164963,0.2027774046592192,zother,zother
FCGR2A,-0.022269086629751824,0.8602332407454795,0.06538377964589752,zother,zother
FCGR3A,-0.010263245591839637,0.9308408488869861,0.031124566450042655,zother,zother
FCGR3B,-0.06161745845551734,0.6946741901803432,0.15821883653730903,zother,zother
FCN2,-0.098574549291897,0.40339595687175267,0.3942684589172219,zother,zother
FCN3,-0.015757710403632573,0.8939929465113956,0.048665907717799904,zother,zother
FERMT3,0.10613697057460615,0.48773433528438215,0.31181667008065267,zother,zother
FETUB,-0.38393128242835606,0.0007331217466257664,3.1348238978046576,zother,zother
FGFR1,-0.03048780487804878,0.8499173318310477,0.0706233143746352,zother,zother
FGL1,0.3287651217076196,0.007033909368755646,2.1528032318255717,zother,zother
FHL1,0.11678308484820474,0.45579454099072736,0.341230880629538,zother,zother
FKBP1A,0.03830906460052381,0.7832956121524244,0.10607430627154726,zother,zother
FLNA,-0.017574788782888446,0.8860286373111361,0.0525522410641768,zother,zother
FLT4,-0.011200912176391397,0.9261353905988841,0.033325519698322634,zother,zother
FN1,-0.3734606985417318,0.0010477472913031209,2.9797434532558724,zother,zother
FSTL1,0.07567472996172982,0.5335251444223049,0.272845107961108,zother,zother
FTL,0.06013816989019249,0.662729568581393,0.17866365233743356,zother,zother
FUCA1,-0.1865748455497774,0.11146024776313308,0.9528799958927566,zother,zother
FUCA2,-0.1597757115052977,0.19652211447916623,0.7065885717217583,zother,zother
Fibrinogen,0.18867165240831735,0.11508454368058992,0.9389829999581701,zother,zother
GAPDH,-0.033174127165542265,0.7790222464748224,0.10845014003821317,zother,zother
GC,-0.10793439231360358,0.3600040192377171,0.4436926505576627,zother,zother
GDI1,0.1977637336964747,0.14031676383994518,0.852890440103044,zother,zother
GDI2,-0.07145764844552288,0.5685675110226012,0.2452179603098901,zother,zother
GGH,-0.2070865268552578,0.07667010766633255,1.115373926872091,zother,zother
GLIPR2,0.14378149346252636,0.24209732910830795,0.6160100018012332,zother,zother
GNPTG,0.12320337673667235,0.2956613825969121,0.5292053965435495,zother,zother
GOLM1,0.27042554643654204,0.025722420326357683,1.5896881693042986,zother,zother
GOT1,0.17627898706598352,0.1896244170623509,0.7221057412981251,zother,zother
GP1BA,-0.05333037139424897,0.6517904717189602,0.1858919926130102,zother,zother
GP1BB,0.0965200268418959,0.5643027046668845,0.24848786817920843,zother,zother
GP5,0.31427231483788176,0.019453814329741227,1.7109952334154888,zother,zother
GP6,0.1271887799930363,0.4281006947348538,0.3684540673787984,zother,zother
GPI,0.044802996483417706,0.7573616182597411,0.120696707929703,zother,zother
GPLD1,-0.4768336483700733,1.7469251595344542e-05,4.75772570033901,zother,zother
GPNMB,-0.3796334369882817,0.0011898026700694314,2.9245250607975732,zother,zother
GPX3,-0.17090599441533827,0.14542172270688114,0.8373707148863433,zother,zother
GSN,-0.33951645770984656,0.00308288007258523,2.5110433694763814,zother,zother
GSR,0.014642788563394904,0.9179397096231859,0.037185842369367623,zother,zother
GSS,0.19190283400809716,0.2418570317891353,0.6164412813463358,zother,zother
GSTO1,0.4021474326130065,0.00038273631204211947,3.4171003322061204,zother,zother
GSTP1,-0.17282275361210248,0.24013345975104822,0.6195473219387622,zother,zother
H6PD,0.041334370053137705,0.7265881053746752,0.1387117160417404,zother,zother
HABP2,-0.13447369404603737,0.2533335942490909,0.5963072151459156,zother,zother
HBA1,-0.17133548088310643,0.14439771972258608,0.8404396649361675,zother,zother
HBB,0.07219815621965113,0.5410029633055793,0.266800356069518,zother,zother
HBD,0.12738805442948253,0.41561709825166215,0.3813065941187079,zother,zother
HEG1,-0.06753304458699674,0.5675224140995782,0.2460169814872021,zother,zother
HEXB,-0.04839549010691633,0.7466664604451736,0.12687335633309185,zother,zother
HGFAC,-0.31016327911962127,0.007158641896081428,2.14516936218695,zother,zother
HLA-A,0.09941431016096029,0.4307512773575416,0.3657734260134006,zother,zother
HLA-B,0.16145608296150774,0.2626458615501755,0.5806294378842201,zother,zother
HLA-C,0.04333789388079003,0.7961369854335641,0.09901219997661795,zother,zother
HNF4A,0.23631604031142692,0.06671798411965357,1.1757570843567817,zother,zother
HNRNPA2B1,0.20015874213300058,0.14286779045031067,0.8450656718837829,zother,zother
HPR,-0.08074697541409671,0.543218768015941,0.26502523374789083,zother,zother
HPX,0.1684623645125193,0.1513517848181094,0.8200124532532577,zother,zother
HRG,-0.5502906442366312,3.7929602695145845e-07,6.421021706419527,zother,zother
HRNR,-0.0591077544394802,0.7171329834233904,0.1444003023353333,zother,zother
HSP90B1,-0.11525305115789927,0.34206921557548875,0.46588600826822085,zother,zother
HSPA1A,0.005998800257692842,0.9643533168101536,0.0157638214618031,zother,zother
HSPA1L,0.22091950312086808,0.13131336617185355,0.8816910655385722,zother,zother
HSPA5,0.1679440187755577,0.15263253845487004,0.8163528729012638,zother,zother
HSPA8,0.1128637993163122,0.3631629668190224,0.4398984446392718,zother,zother
HSPD1,-0.08501191084281573,0.5295151947656367,0.2761215730292296,zother,zother
HSPG2,0.23436632249763673,0.04444614215620989,1.3521659290240389,zother,zother
HYOU1,-0.08995580044517952,0.4691069939000545,0.32872809212306503,zother,zother
ICAM1,0.021385464119215637,0.8564826293091078,0.06728144072147399,zother,zother
ICAM2,-0.1508682292122228,0.19946370727781954,0.7001361133247239,zother,zother
ICAM3,0.26353833801417886,0.049703691751837364,1.3036113527574715,zother,zother
ICOSLG,-0.3481506166998069,0.0023687625809142463,2.62547846606743,zother,zother
IDH1,-0.12517867695578117,0.3671087555062472,0.4352052574935484,zother,zother
IGF1,0.0655964306650925,0.5895288708870201,0.22949492142573094,zother,zother
IGF2R,-0.004007143172057467,0.9801627901096134,0.008701788618742167,zother,zother
IGFALS,-0.4265689217629972,0.00015077764932975676,3.8216630317564593,zother,zother
IGFBP2,0.23361853285348447,0.05160370135535731,1.2873191468116174,zother,zother
IGFBP3,-0.36854381897969607,0.0012340382334843744,2.9086713846025667,zother,zother
IGFBP4,0.22887563306209935,0.13986636258194932,0.8542867194006565,zother,zother
IGFBP6,0.11969793981581044,0.31312801174179067,0.5042780796180593,zother,zother
IGFBP7,0.03377178247854705,0.7927337521017639,0.10087265052428561,zother,zother
IL1RAP,-0.3544744346907384,0.0019438798925245828,2.711330572550308,zother,zother
IL6ST,-0.28968242126501137,0.017418298209182177,1.7589942784021113,zother,zother
INO80,-0.12565224443481357,0.3516803540893857,0.4538518919869581,zother,zother
INPP5F,0.08272692467380548,0.6214647588869768,0.2065834936592813,zother,zother
ISLR,0.0013776895437906582,0.9930912076324299,0.003010863133583927,zother,zother
ITGA2B,0.008490609579433251,0.9495626192405172,0.022476390280413167,zother,zother
ITGB1,0.11626398733295434,0.3414271118258687,0.46670199567334997,zother,zother
ITGB3,-0.027875778588225854,0.8626469967921953,0.06416688529100681,zother,zother
ITIH1,-0.07665592955752087,0.5162420745972014,0.28714660261907343,zother,zother
ITIH2,-0.439098078719269,9.08920479248062e-05,4.041474111205379,zother,zother
ITIH3,0.2675700694195768,0.021181472889483445,1.674043843778373,zother,zother
ITIH4,0.25512977173249846,0.028250642732796333,1.5489716670611287,zother,zother
ITIH5,0.1981639071118637,0.09760169910681547,1.0105426218180307,zother,zother
JCHAIN,0.02867226855567654,0.8206379882614934,0.0858483829205562,zother,zother
KIT,-0.21862005833419249,0.15394738593712617,0.8126276811207701,zother,zother
KLKB1,-0.19138805596442082,0.10236562322785756,0.9898458651280417,zother,zother
KNG1,-0.21225517434667487,0.06943936133342425,1.1583942822244961,zother,zother
KRT1,0.049627901844523266,0.6745540114361382,0.17098327070733935,zother,zother
KRT10,0.24023103426440226,0.03924015761563083,1.4062692568613742,zother,zother
KRT13,0.22444865558701074,0.10615121320652597,0.9740750379003497,zother,zother
KRT14,0.03375393002336958,0.779901868456538,0.1079600391927614,zother,zother
KRT16,0.006264776843606604,0.9611345961994231,0.017215789965626855,zother,zother
KRT17,0.19732901101084158,0.19917057593870943,0.7007748207884517,zother,zother
KRT2,0.06522270358796792,0.5808775669548648,0.23591539531898031,zother,zother
KRT5,-0.1535622128921347,0.2584957875315785,0.5875465298106461,zother,zother
KRT6A,0.03287666441220022,0.7870170180704549,0.1040158765682766,zother,zother
KRT7,-0.013565682823020503,0.9194958704366691,0.03645021688875804,zother,zother
KRT77,0.000367434780551466,0.9975913287840295,0.0010473344669777874,zother,zother
