Exp,Sample type,ACTA1_large_than_RPRD1B,ACTA2_large_than_GAPDH,ACTN1_large_than_ASAH1,ACTN1_large_than_ICAM1,ACTN1_large_than_PEPD,ALDOC_large_than_LAMB1,APOA4_large_than_PRDX6,ASAH1_large_than_CALR,ASAH1_large_than_CFL1,ASAH1_large_than_DYNC1H1,ASAH1_large_than_ENO1,ASAH1_large_than_HNRNPA2B1,ASAH1_large_than_HSPA8,ASAH1_large_than_HSPD1,ASAH1_large_than_ICAM1,ASAH1_large_than_LAMB1,ASAH1_large_than_MRC1,ASAH1_large_than_PNP,ASAH1_large_than_PSEN1,ASAH1_large_than_TIMP1,ASAH1_large_than_TPM2,ASAH1_large_than_TPM4,ASAH1_large_than_TXN,ASAH1_large_than_VCP,ASAH1_large_than_WDR12,ASAH1_large_than_YWHAE,ASAH1_large_than_YWHAG,ASAH1_large_than_YWHAQ,CALR_large_than_FKBP4,CFL1_large_than_ICAM1,CFL1_large_than_PEPD,CFL1_large_than_YWHAG,CPQ_large_than_SOD1,ENO1_large_than_ICAM1,ENO1_large_than_PEPD,HSPA8_large_than_PSEN1,HSPD1_large_than_ICAM1,ICAM1_large_than_TPM4,LAMB1_large_than_TXN,MRC1_large_than_TXN,PEPD_large_than_YWHAE
Exp081679,BLCA,1,1,1,-1,-1,1,1,1,-1,1,-1,-1,-1,1,-1,-1,1,-1,-1,1,-1,-1,-1,0,-1,-1,-1,-1,1,-1,1,1,1,1,1,1,-1,-1,-1,-1,-1
Exp081680,BLCA,1,1,-1,-1,-1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,1,-1,-1,-1
Exp081681,BLCA,1,1,-1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,1,1,1
Exp081682,BLCA,-1,1,-1,-1,-1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,-1,-1,-1,-1,-1,0,0,1,-1,0,1,1,1
Exp081683,BLCA,-1,-1,1,-1,1,0,1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,1,1,-1,-1,1,-1,1,-1,1,1,0,1,1,-1,-1,1,1,1,-1
Exp081684,BLCA,-1,-1,1,1,-1,-1,1,1,1,-1,-1,1,1,1,-1,1,1,1,1,1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,1,-1,1,1,1,1
Exp081685,BLCA,-1,-1,1,1,-1,-1,1,1,-1,1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,0,1,1,1,-1,-1,-1,1,-1,-1,-1,-1,0,-1,-1,1,1,1,1,1,1
Exp081686,BLCA,1,1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,-1,-1,-1,-1,-1,1,1,-1,1,1,-1,-1,-1
Exp081687,BLCA,1,1,-1,-1,-1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1
Exp081688,BLCA,1,-1,0,1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1
Exp081689,BLCA,-1,1,1,1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1
Exp081690,BLCA,1,1,0,1,1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,1,-1,1,1,1,-1,-1,-1,-1,-1,0
Exp081691,BLCA,-1,-1,1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,1,1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,-1,1,1,-1,-1,-1
Exp081692,BLCA,1,1,-1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,-1,1,1,1,1,-1,-1,-1,-1,-1
Exp081693,BLCA,1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,1
Exp081694,BLCA,-1,1,1,1,1,0,0,1,-1,1,1,-1,1,0,-1,1,1,1,-1,-1,-1,-1,1,-1,0,-1,-1,-1,1,1,1,1,0,-1,-1,-1,0,-1,-1,-1,-1
Exp081695,BLCA,-1,-1,0,1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,-1,1,1,-1,-1,1,-1,1,-1,-1,1
Exp081696,BLCA,-1,-1,-1,1,1,-1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,-1,1,1,1,0,0,0,1,-1,1,1,-1,-1
Exp081697,BLCA,1,-1,0,1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,-1,-1,0,1,-1,1,1,-1,-1,1,1
Exp081698,BLCA,-1,-1,-1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,-1,-1,-1,-1,1,-1,1,1,-1,1
Exp081699,BLCA,1,-1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,-1,0,0,-1,-1,-1,1,-1,-1
Exp081700,BLCA,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,-1,0,-1,-1,-1,-1,-1,0,0,-1
Exp082708,BLCA,-1,-1,-1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,-1,-1,-1,-1,1,0,0,1,-1,1,-1,-1,1
Exp082710,BLCA,-1,-1,-1,-1,-1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,-1,-1,1,1,-1,-1,1,1
Exp082712,BLCA,1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,1,1,-1,-1,-1,-1,1,1,1
Exp082714,BLCA,1,-1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,1,1,1,0,-1,-1,-1,1,1,-1,-1,-1,-1,1,1,1,-1,1,1,1,0,1,1,1,1,1
Exp082715,BLCA,-1,-1,1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,-1,-1,0,1,1,1,-1,-1,-1,1,1,1,-1,-1,-1,1,1,-1,1,1,1,1,1
Exp082717,BLCA,1,1,0,-1,-1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,1
Exp082718,BLCA,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,0,1,1,0,1,-1,1,1,-1
Exp082719,BLCA,0,-1,0,-1,-1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,1,1,1,0,0,1,-1,0,-1,-1,1
Exp082720,BLCA,1,-1,1,1,-1,1,1,1,-1,-1,1,-1,1,-1,-1,-1,-1,1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,-1,1,1,1,1,1,1
Exp082721,BLCA,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,1,1,-1,-1,-1,1,-1,-1,1,1,-1
Exp082722,BLCA,0,-1,-1,1,-1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,-1,1,-1,1,-1,0,0,0,1,-1,1,1,1
Exp041928,normal,-1,-1,-1,-1,-1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,-1,-1,-1,1,-1,1,1,1,1
Exp043388,normal,0,-1,-1,-1,-1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,0,1,1,0,0,0,0,1,-1,-1,0,-1,0,1,1,0
Exp042197,normal,-1,-1,-1,-1,-1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,-1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,-1
Exp042198,normal,-1,-1,-1,-1,-1,-1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,0
Exp042199,normal,-1,-1,0,0,0,-1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,-1,1,1,1,-1,-1,-1,0,-1,-1,1,-1,1,-1,1,-1
Exp042200,normal,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,1,-1,1
Exp042201,normal,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,-1,-1,-1,-1,1,-1,-1,0,-1,1,1,-1,0
Exp042202,normal,-1,-1,-1,-1,-1,0,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,-1,-1,-1,-1,-1,-1,1,-1,1,1,-1,0
Exp041935,normal,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,-1,-1,-1,0,1,-1,1,0,-1,1,-1,-1,0
Exp043353,normal,-1,-1,0,-1,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,1,1,-1,-1,1,-1,-1,1,1,-1,-1
Exp043377,normal,-1,-1,-1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,-1,-1,-1,-1,0,0,0,1,1,-1,1,0
Exp042254,normal,-1,-1,-1,-1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0,-1,-1,1,-1,1,1,1,0
Exp042255,normal,-1,-1,-1,-1,-1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,-1,-1,1,-1,1,1,-1,-1,1,-1,1,0
Exp042256,normal,-1,-1,-1,-1,-1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,0,0,1,1,0,-1,-1,-1,0,-1,1,-1,-1,1,1,1,0
Exp042257,normal,-1,-1,-1,-1,1,-1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,-1,-1,-1,0,-1,-1,0,-1,1,1,1,1
Exp042258,normal,1,1,-1,-1,-1,-1,1,1,1,1,1,-1,1,-1,1,1,1,1,0,1,-1,-1,1,1,1,1,-1,1,0,-1,-1,-1,-1,-1,-1,0,1,-1,1,1,1
Exp042260,normal,1,-1,-1,1,1,-1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,0,-1,1,0,-1,-1,-1,0,-1,-1,0,-1,-1,1,1,0
Exp042261,normal,1,1,-1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,-1,-1,-1,0,1,1,-1,0,1,1,-1,-1
Exp042262,normal,1,-1,-1,1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,-1,1,1,1,1,-1,1,-1,-1,0,1,-1,-1,-1,-1
Exp042263,normal,-1,-1,-1,-1,-1,0,0,1,0,1,1,0,0,1,1,1,1,1,1,1,0,0,0,1,1,0,-1,1,0,0,0,0,1,-1,-1,0,-1,0,0,0,0
Exp042264,normal,-1,-1,0,0,0,-1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,-1,1,0,0,0,0,0,-1,-1,-1,1,1,0,0,1
Exp042265,normal,-1,-1,0,0,0,-1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,-1,1,0,-1,-1,-1,1,-1,-1,-1,1,0,0,0,1
Exp042266,normal,-1,-1,-1,-1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,-1,1,0,0,0,0,0,-1,-1,0,1,1,-1,-1,1
Exp042267,normal,-1,-1,0,1,1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-1,1,-1,-1,1,-1,1,1,1,1
Exp042268,normal,-1,-1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,0,1,1,-1,1,1,1,-1,-1,1,1,1,1
Exp042269,normal,-1,-1,-1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,-1,1,0,1,1,-1,1,-1,-1,1,-1,-1,0,0,1
Exp042270,normal,-1,1,-1,-1,-1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,1,0,0,-1,-1,0,-1,1,-1,1,0
Exp042271,normal,-1,-1,-1,-1,-1,-1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,0,-1,1,0,-1,-1,-1,0,-1,-1,-1,-1,1,0,0,0
Exp042272,normal,-1,-1,-1,1,-1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,0,1,0,-1,1,0,-1,-1,-1,0,-1,-1,-1,-1,1,0,0,0
Exp042273,normal,-1,-1,-1,1,-1,-1,0,1,1,-1,1,-1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,-1,1,0,1,-1,-1,1,-1,-1,0,1,-1,0,0,1
Exp042274,normal,-1,-1,-1,-1,-1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,-1,1,0,1,-1,-1,0,-1,-1,-1,-1,1,1,1,1
Exp042275,normal,-1,-1,0,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,1,0,0,-1,-1,1,-1,1,0,0,1
Exp042276,normal,-1,-1,-1,-1,-1,0,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,0,0,1,1,1,1,0,-1,-1,-1,0,-1,-1,0,1,1,0,0,-1
Exp042277,normal,-1,-1,-1,-1,-1,0,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,1,0,1,1,1,0,-1,-1,0,0,-1,1,1,0
Exp042278,normal,-1,-1,-1,-1,-1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,-1,-1,0,0,1,1,0,-1,1,-1,1,-1
Exp042279,normal,-1,-1,-1,-1,-1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,-1,-1,-1,0,-1,-1,-1,1,0,0,0,1
Exp042280,normal,-1,-1,-1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,-1,-1,-1,-1,1,1,1,-1,1,1,0,0,0
Exp042203,normal,-1,-1,-1,-1,-1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,-1,1,1,1,0,0,-1,-1,-1,0,-1,1,0,-1,1,1,1,-1
Exp042204,normal,1,1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,-1,1,-1,-1,-1,-1,-1,1,1,-1
Exp042205,normal,1,1,-1,-1,-1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,-1,0,-1,-1,0,1,-1,0,0,1
Exp042206,normal,-1,-1,-1,1,-1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,-1,-1,-1,0,-1,-1,-1,-1,1,0,0,1
Exp042207,normal,-1,-1,-1,-1,-1,-1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,0,-1,-1,-1,1,-1,1,-1,-1,1,0,0,-1
Exp042208,normal,-1,-1,-1,-1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,0,0,1,0,0,1,1,-1,0,1,1,-1,-1,-1,1,1,0
Exp042209,normal,-1,1,-1,-1,-1,0,0,1,1,1,1,1,1,-1,1,1,0,1,1,1,1,1,0,0,0,1,1,1,1,-1,-1,-1,0,-1,-1,-1,1,1,0,0,-1
Exp042210,normal,1,1,-1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,1,0,-1,-1,1,0,-1,-1,0,-1,-1,1,1,0
Exp042299,normal,-1,-1,-1,-1,-1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,-1,0,1,1,-1,1,-1,-1,-1,1
Exp042218,normal,1,1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,-1,1,1,0,1,-1,1,-1,0,-1,-1,-1,-1,1,0,0,-1
Exp042434,normal,-1,-1,-1,-1,-1,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,-1,0,0,0,-1,-1,1,0,-1,0,1,1,1
Exp042437,normal,-1,1,-1,-1,-1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,-1,-1,0,1,-1,-1,-1,-1,-1,-1,-1,0
Exp042461,normal,1,-1,-1,1,1,-1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,-1,1,0,-1,-1,-1,0,1,1,1,-1,1,1,-1,0
Exp042469,normal,-1,-1,-1,-1,-1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,-1,-1,-1,0,0,0,1,-1,1,1,1,-1
Exp042480,normal,-1,1,-1,1,1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,-1,-1,-1,0,-1,-1,-1,-1,-1,1,1,1,0
Exp042482,normal,-1,-1,1,-1,-1,0,1,1,0,-1,-1,-1,1,1,-1,1,-1,1,-1,1,-1,1,1,0,0,0,0,1,-1,0,0,0,1,-1,-1,-1,-1,1,1,1,0
Exp042491,normal,-1,-1,-1,-1,-1,-1,1,1,-1,1,1,1,-1,1,-1,-1,1,1,1,1,1,1,0,0,-1,1,-1,1,0,-1,1,-1,1,-1,-1,1,-1,1,0,0,1
Exp042492,normal,1,-1,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,-1,-1,1,-1,1,1,1,1
Exp042494,normal,-1,-1,-1,-1,-1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,-1,-1,-1,0,0,0,-1,-1,1,0,0,0
Exp042501,normal,-1,1,1,-1,1,-1,1,1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,0,-1,-1,1,0,-1,-1,-1,-1,1,1,1,1,1,-1,-1,1,1,-1,1,-1,1
Exp042527,normal,-1,-1,-1,-1,-1,-1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,-1,1,-1,-1,-1,-1,0,0,0,-1,-1,1,0,0,0
Exp042554,normal,-1,0,-1,-1,-1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,-1,0,0,0,1,-1,-1,1,-1,0,-1,-1,1
Exp042576,normal,-1,-1,-1,-1,-1,-1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,0,-1,-1,-1,1,1,1,1,1
Exp042577,normal,1,1,-1,1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,-1,-1,-1,-1,-1,-1,-1,1,1,-1,1,1
Exp042580,normal,-1,-1,1,-1,-1,-1,0,1,-1,-1,-1,-1,1,1,-1,1,1,-1,-1,-1,-1,-1,1,0,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,1
Exp042572,normal,-1,-1,-1,-1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,-1,1,-1,1,1,-1,1,1,1,-1
Exp042585,normal,-1,-1,1,1,-1,-1,1,1,1,1,1,-1,-1,1,-1,1,1,0,-1,-1,-1,-1,1,1,-1,-1,1,-1,0,-1,-1,1,-1,-1,-1,-1,-1,-1,1,1,1
Exp042586,normal,-1,1,-1,-1,-1,-1,1,1,-1,-1,0,1,1,1,-1,1,-1,1,1,1,-1,-1,1,-1,0,-1,-1,1,0,1,1,-1,1,0,0,-1,-1,-1,1,1,1
Exp042596,normal,1,1,-1,-1,-1,-1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,-1,0,1,0,0,0,1,0,0,1,1,0,1,1,1
Exp042601,normal,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,-1,0,-1,1,-1,-1,1,1,-1,1
Exp042609,normal,-1,1,-1,-1,-1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,1
Exp042617,normal,-1,1,-1,-1,-1,-1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,-1,-1,-1,0,0,0,-1,-1,1,-1,-1,0
Exp042626,normal,1,1,0,1,-1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,-1,0,-1,-1,1,-1,-1,-1,-1,1
Exp042629,normal,1,1,-1,-1,-1,-1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,-1,1,-1,0,-1,-1,1,-1,-1,-1,-1,1
Exp042637,normal,-1,1,-1,-1,-1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,-1,-1,-1,1,1,1
Exp042639,normal,-1,1,-1,-1,-1,-1,1,1,-1,1,1,1,1,1,1,1,1,1,1,0,1,-1,1,0,0,1,-1,1,0,1,1,1,1,-1,-1,1,-1,-1,-1,-1,1
Exp042658,normal,-1,-1,-1,-1,-1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1
Exp042662,normal,0,1,-1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
Exp042665,normal,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,-1,-1,-1,1,-1,-1,-1,1,1,-1,-1,1
Exp042672,normal,0,1,-1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,-1,1,-1,1,-1,-1,1,1,-1,1,1,1
Exp042684,normal,-1,-1,1,-1,-1,-1,1,1,1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,0,1,1,-1,0,1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,1,1,1,1,1
Exp044053,normal,-1,1,1,-1,1,1,0,1,-1,-1,1,1,1,1,-1,1,1,1,1,0,-1,-1,1,1,-1,-1,-1,1,-1,-1,1,-1,0,-1,1,1,-1,1,1,1,-1
Exp044020,normal,-1,-1,-1,-1,-1,1,1,1,1,1,-1,1,0,-1,1,1,-1,-1,1,0,1,1,1,1,-1,1,-1,1,-1,-1,-1,-1,0,1,1,0,1,1,1,1,1
Exp044021,normal,-1,-1,-1,1,-1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,-1,1,1,1,-1,-1,0,-1,-1,-1,-1,1,1,1,1
Exp044024,normal,1,0,-1,-1,-1,-1,0,1,0,-1,0,-1,1,1,-1,-1,1,1,-1,-1,-1,-1,1,1,-1,1,-1,1,0,0,0,0,0,0,0,-1,-1,1,1,1,1
Exp044026,normal,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,-1,-1,-1,0,-1,-1,1,-1,1,1,-1,1
Exp044033,normal,-1,-1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,-1,1,0,1,1,1,1,-1,1,-1,1,-1,1,1,-1,0,-1,1,1,1,-1,1,1,1
Exp044034,normal,-1,-1,1,1,-1,-1,1,-1,1,-1,-1,-1,0,-1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,0,-1,-1,-1,0,-1,-1,0,1,1,1,1,1
Exp044035,normal,-1,-1,-1,1,-1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,-1,-1,-1,0,1,-1,-1,-1,1,0,-1,1
Exp044036,normal,-1,-1,-1,-1,1,1,1,1,-1,0,1,1,1,-1,-1,1,1,0,1,1,-1,1,1,1,-1,1,-1,1,0,1,1,-1,0,-1,-1,-1,1,1,1,1,-1
Exp044086,normal,-1,-1,-1,-1,-1,0,0,1,1,0,0,-1,0,1,-1,1,1,1,1,1,0,1,0,1,-1,0,-1,1,0,-1,-1,-1,0,0,0,0,-1,1,0,0,0
Exp044104,normal,0,-1,0,0,0,-1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,-1,1,0,0,0,0,0,1,-1,1,1,1,1,1,0
Exp044045,normal,-1,-1,-1,-1,1,0,0,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,0,-1,1,1,1,0
Exp044060,normal,-1,-1,-1,1,1,-1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,-1,-1,-1,0,-1,-1,0,-1,1,1,1,0
Exp044099,normal,1,-1,-1,-1,-1,-1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,1,1,-1
Exp044088,normal,-1,-1,-1,-1,1,-1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,0,0,0,1,1,0,1,1,1,1,0
Exp041926,normal,-1,-1,-1,-1,-1,-1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,-1,-1,0,-1,1,1,1,0
Exp044110,normal,-1,-1,-1,1,1,-1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1,-1,-1,0,-1,1,0,0,1
