Exp,Sample type,ACTB_large_than_C8G,ACTB_large_than_MST1,ACTB_large_than_RPRD1B,ACTN1_large_than_ENO1,AHNAK_large_than_BLMH,AHNAK_large_than_CAMP,AHNAK_large_than_LAMB1,AHNAK_large_than_PKM,ALDOA_large_than_THBS1,APOD_large_than_FN1,BLMH_large_than_CAMP,BLMH_large_than_PKM,C1R_large_than_C2,C5_large_than_C7,C6_large_than_C8G,CFL1_large_than_ICAM1,CFL1_large_than_LDHB,CLIC1_large_than_LAMB1,ENO1_large_than_GDI2,ENO1_large_than_HNF4A,ENO1_large_than_ICAM1,ENO1_large_than_LDHB,FBLN1_large_than_PSMC1,FN1_large_than_PROS1,GDI2_large_than_TAGLN2,GSTO1_large_than_LCP1,GSTO1_large_than_MYH9,GSTO1_large_than_TGFBI,HNF4A_large_than_PKM,HSPA8_large_than_PKM,ICAM1_large_than_MYH9,ICAM1_large_than_TPM4,LCP1_large_than_TPM4,LDHB_large_than_TAGLN2,MPO_large_than_TIMP1,MST1_large_than_PSMC1,MST1_large_than_YWHAZ,MYH9_large_than_TGFBI,PCBP2_large_than_SERPINF1,PKM_large_than_S100A8,TFRC_large_than_YWHAZ
Exp042264,normal,-1,-1,-1,0,1,1,1,1,1,-1,1,1,-1,1,1,0,0,0,0,-1,-1,-1,0,1,0,-1,1,-1,1,-1,1,1,1,-1,-1,0,1,-1,-1,1,1
Exp042265,normal,-1,-1,-1,0,-1,1,1,1,1,-1,1,1,-1,1,1,-1,-1,-1,-1,0,-1,-1,0,1,1,1,1,1,0,1,-1,0,0,-1,1,0,1,-1,-1,-1,1
Exp042266,normal,-1,-1,-1,1,-1,-1,1,-1,1,-1,1,-1,-1,-1,-1,0,0,1,0,-1,-1,-1,0,1,0,-1,-1,-1,1,-1,-1,1,1,1,1,0,1,1,-1,1,1
Exp042267,normal,-1,-1,-1,1,1,1,1,1,1,-1,1,1,-1,1,1,1,1,0,-1,-1,-1,-1,1,1,-1,-1,1,-1,1,1,1,1,1,-1,1,1,1,-1,-1,-1,1
Exp042268,normal,-1,-1,-1,1,1,1,1,0,1,-1,1,0,-1,1,1,1,1,1,1,-1,1,1,0,1,1,-1,1,-1,0,0,1,1,1,1,1,0,1,-1,-1,0,1
Exp042269,normal,-1,1,-1,1,1,1,1,1,-1,-1,1,-1,-1,1,1,1,1,1,1,-1,-1,-1,0,1,-1,1,1,-1,-1,-1,-1,-1,1,-1,1,0,-1,-1,-1,1,-1
Exp042270,normal,-1,-1,-1,1,1,1,1,1,-1,-1,1,1,-1,1,1,1,1,1,-1,-1,-1,-1,0,1,-1,1,1,1,1,1,1,1,1,1,1,0,1,-1,-1,-1,1
Exp042271,normal,-1,-1,-1,-1,-1,-1,1,0,1,-1,-1,0,-1,1,1,-1,-1,-1,0,-1,-1,-1,1,1,0,1,1,1,0,0,1,1,1,-1,1,1,1,-1,-1,0,1
Exp042272,normal,-1,-1,-1,1,-1,-1,-1,1,1,-1,1,1,-1,1,1,-1,-1,-1,0,-1,-1,-1,1,1,0,-1,1,-1,1,-1,1,1,1,1,0,1,1,-1,-1,-1,1
Exp042273,normal,-1,1,-1,1,-1,-1,-1,-1,1,1,-1,-1,-1,1,1,1,1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,1,-1
